code,name,county,city,full_address,long,lat
10303,Alamance-Burlington Middle/Early College,Alamance,Graham,"1247 Jimmie Kerr Road, Graham, NC 27253",-79.3575561,36.0667853
10304,Alexander Wilson Elementary,Alamance,Graham,"2518 NC 54, Graham, NC 27253",-79.3466437,36.0298515
10308,Altamahaw Ossipee Elem,Alamance,Elon,"2832 N NC 87, Elon, NC 27244",-79.5104138,36.1795464
10310,Broadview Middle,Alamance,Burlington,"2229 Broadview Drive, Burlington, NC 27217",-79.3969707,36.0874369
10311,Career Technical Education Center,Alamance,Burlington,"2550 Buckingham Road, Burlington, NC 27217",-79.3842715,36.0923163
10312,"Highland Elementary, Burlington",Alamance,Burlington,"3720 Bonnar Bridge Parkway, Burlington, NC 27215",-79.5179086,36.0585018
10320,E M Yoder Elementary,Alamance,Mebane,"301 N Charles Street, Mebane, NC 27302",-79.275477,36.100586
10324,Eastern Alamance High,Alamance,Mebane,"4040 Mebane Rogers, Mebane, NC 27302",-79.302277,36.1135494
10326,Eastlawn Elementary,Alamance,Burlington,"502 N Graham Hopedale Road, Burlington, NC 27217",-79.4066516,36.1019099
10328,Edwin M Holt Elementary,Alamance,Burlington,"4751 S NC 62, Burlington, NC 27215",-79.4888609,36.020872
10340,Elon Elementary,Alamance,Elon,"510 E Haggard Avenue, Elon, NC 27244",-79.4991775,36.1041309
10346,B Everett Jordan Elem,Alamance,Graham,"5827 Church Road, Graham, NC 27253",-79.3267517,35.9397887
10347,Garrett Elementary,Alamance,Mebane,"3224 Old Hillsborough Road, Mebane, NC 27302",-79.2968657,36.0616231
10348,Graham High,Alamance,Graham,"903 Trollinger Road, Graham, NC 27253",-79.3830719,36.0754477
10350,Graham Middle,Alamance,Graham,"311 E Pine Street, Graham, NC 27253",-79.4052184,36.0683622
10351,Grove Park Elementary,Alamance,Burlington,"141 Trail One, Burlington, NC 27215",-79.4606761,36.0800356
10353,Hawfields Middle,Alamance,Mebane,"1951 S NC 119, Mebane, NC 27302",-79.2972038,36.0614763
10354,Harvey R Newlin Elementary,Alamance,Burlington,"316 Carden Street, Burlington, NC 27215",-79.4205411,36.0734088
10357,Haw River Elementary,Alamance,Haw River,"701 E Main Street, Haw River, NC 27258",-79.358827,36.092396
10358,"Hillcrest Elementary, Burlington",Alamance,Burlington,"1714 W Davis Street, Burlington, NC 27215",-79.4648653,36.1031392
10360,Hugh M Cummings High,Alamance,Burlington,"2200 N Mebane Street, Burlington, NC 27217",-79.396541,36.0886278
10362,Marvin B Smith Elementary,Alamance,Burlington,"2235 Delaney Drive, Burlington, NC 27215",-79.4787377,36.0772234
10364,North Graham Elementary,Alamance,Graham,"1025 Trollinger Road, Graham, NC 27253",-79.3777934,36.0763205
10372,"Pleasant Grove Elementary, Burlington",Alamance,Burlington,"2847 Pleasant Grv Sch Road, Burlington, NC 27217",-79.3056019,36.217398
10374,R Homer Andrews Elementary,Alamance,Burlington,"2630 Buckingham Road, Burlington, NC 27217",-79.3834238,36.0944585
10378,Ray Street Academy,Alamance,Graham,"609 Ray Street, Graham, NC 27253",-79.395666,36.0614951
10380,South Graham Elementary,Alamance,Graham,"320 Ivey Road, Graham, NC 27253",-79.3936579,36.0520937
10384,South Mebane Elementary,Alamance,Mebane,"600 S 3rd Street, Mebane, NC 27302",-79.2752451,36.0888099
10388,Southern High,Alamance,Graham,"631 Southern High Road, Graham, NC 27253",-79.40889,36.006858
10390,"Southern Middle, Graham",Alamance,Graham,"771 Southern High Road, Graham, NC 27253",-79.4088981,36.004284
10392,Sylvan Elementary,Alamance,Snow Camp,"7718 Sylvan Road, Snow Camp, NC 27349",-79.4365221,35.8799967
10394,Turrentine Middle,Alamance,Burlington,"1710 Edgewood Avenue, Burlington, NC 27215",-79.4623901,36.0907285
10396,Walter M Williams High,Alamance,Burlington,"1307 S Church Street, Burlington, NC 27215",-79.4543311,36.0884929
10400,Western Alamance High,Alamance,Elon,"1731 N NC 87, Elon, NC 27244",-79.4991966,36.1528055
10403,Western Middle,Alamance,Elon,"2100 Eldon Drive, Elon, NC 27244",-79.5036285,36.1620485
10406,Woodlawn Middle,Alamance,Mebane,"3970 Mebane Rogers Road, Mebane, NC 27302",-79.3038618,36.1152028
010LEA,Alamance-Burlington Schools,Alamance,Burlington,"1712 Vaughn Road, Burlington, NC 27217",-79.4087567,36.1020902
01B000,River Mill Academy,Alamance,Graham,"235 Cheeks Lane, Graham, NC 27253",-79.3944205,36.0439505
01C000,Clover Garden,Alamance,Burlington,"2454 Altamhaw Union Ridge Road, Burlington, NC 27217",-79.4715982,36.1870915
01D000,The Hawbridge School,Alamance,Saxapahaw,"1735 Saxapahaw Bethlehem Church Rd, Saxapahaw, NC 27340",-79.3183385,35.9464853
20302,Alexander Central High,Alexander,Taylorsville,"223 School Drive, Taylorsville, NC 28681",-81.1893043,35.9167533
20303,Alexander Early College,Alexander,Taylorsville,"230 Industrial Blvd, Taylorsville, NC 28681",-81.1815586,35.910777
20304,Bethlehem Elementary,Alexander,Taylorsville,"7900 NC Hwy 127, Taylorsville, NC 28681",-81.3122655,35.8365179
20306,East Alexander Middle,Alexander,Hiddenite,"1285 White Plains Road, Hiddenite, NC 28636",-81.1199114,35.9295084
20308,Ellendale Elementary,Alexander,Taylorsville,"175 Ellendale Park Lane, Taylorsville, NC 28681",-81.2789738,35.9280489
20316,Hiddenite Elementary,Alexander,Hiddenite,"374 Sulphur Springs Road, Hiddenite, NC 28636",-81.0893554,35.9071151
20320,Stony Point Elementary,Alexander,Stony Point,"311 Stony Point School Road, Stony Point, NC 28678",-81.0468615,35.8692561
20324,Sugar Loaf Elementary,Alexander,Taylorsville,"3600 NC Hwy 16N, Taylorsville, NC 28681",-81.1915002,35.9708229
20328,Taylorsville Elementary,Alexander,Taylorsville,"100 7th Street SW, Taylorsville, NC 28681",-81.1828707,35.9203895
20330,West Alexander Middle,Alexander,Taylorsville,"85 Bulldog Lane, Taylorsville, NC 28681",-81.3134344,35.8720999
20332,Wittenburg Elementary,Alexander,Taylorsville,"7300 Church Road, Taylorsville, NC 28681",-81.2413853,35.8273613
020LEA,Alexander County Schools,Alexander,Taylorsville,"700 Liledoun Road, Taylorsville, NC 28681",-81.1894076,35.9131358
30304,Alleghany High,Alleghany,Sparta,"404 Trojan Avenue, Sparta, NC 28675",-81.1228223,36.513866
30308,Glade Creek Elementary,Alleghany,Ennice,"32 Glade Creek Sch Road, Ennice, NC 28623",-80.979231,36.50085
30316,Piney Creek Elementary,Alleghany,Piney Creek,"559 Piney Creek Sch Road, Piney Creek, NC 28663",-81.304084,36.547357
30320,Sparta Elementary,Alleghany,Sparta,"450 N Main Street, Sparta, NC 28675",-81.1269367,36.5095717
030LEA,Alleghany County Schools,Alleghany,Sparta,"85 Peachtree Street, Sparta, NC 28675",-81.1225595,36.5118416
40304,Anson Co. Early College High,Anson,Polkton,"177 Ledbetter Street, Polkton, NC 28135",-80.2114155,34.9987204
40305,Anson Academy,Anson,Wadesboro,"118 N. Ashe Street, Wadesboro, NC 28170",-80.0788573,34.9609371
40306,Anson High School,Anson,Wadesboro,"96 Anson High School Road, Wadesboro, NC 28170",-80.1037392,34.9768643
40308,Ansonville Elementary,Anson,Ansonville,"9104 Hwy 52 N, Ansonville, NC 28007",-80.10718,35.1051069
40309,Anson Middle,Anson,Wadesboro,"832 US Hwy 52 N, Wadesboro, NC 28170",-80.0882123,34.9896098
40311,Wadesboro Primary,Anson,Wadesboro,"1542 Hwy 52 S, Wadesboro, NC 28170",-80.0577,34.941983
40316,Lilesville Elementary,Anson,Lilesville,"121 Camden Street, Lilesville, NC 28091",-79.988673,34.963629
40324,Morven Elementary,Anson,Morven,"6715 Hwy 52 S, Morven, NC 28119",-80.00664,34.879199
40328,Peachland-Polkton Elem,Anson,Peachland,"9633 Hwy 74 W, Peachland, NC 28133",-80.2303847,34.9950434
40330,Wadesboro Elementary,Anson,Wadesboro,"321 Camden Road, Wadesboro, NC 28710",-80.0790723,34.9622196
040LEA,Anson County Schools,Anson,Wadesboro,"320 Camden Road, Wadesboro, NC 28170",-80.0808571,34.9632751
50302,Ashe County High,Ashe,West Jefferson,"184 Campus Drive, West Jefferson, NC 28694",-81.478117,36.392264
50305,Ashe County Middle,Ashe,Warrensville,"255 Northwest Lane, Warrensville, NC 28693",-81.509979,36.462739
50310,Blue Ridge Elementary,Ashe,Warrensville,"5778 NC Hwy 88 W, Warrensville, NC 28693",-81.531441,36.4618417
50330,"Mountain View Elementary, Jefferson",Ashe,Jefferson,"2789 Hwy 221 N, Jefferson, NC 28640",-81.443943,36.433898
50335,Westwood Elementary,Ashe,West Jefferson,"4083 US Hwy 221S, West Jefferson, NC 28694",-81.4894697,36.3767529
050LEA,Ashe County Schools,Ashe,Jefferson,"320 South Street, Jefferson, NC 28640",-81.4685355,36.4200057
60302,Avery County High,Avery,Newland,"401 Avery County High School Road, Newland, NC 28657",-81.91897,36.0692387
60304,Banner Elk Elementary,Avery,Banner Elk,"155 Orchard Lane, Banner Elk, NC 28604",-81.8572987,36.1488516
60310,Cranberry Middle,Avery,Elk Park,"6230 North Highway 19E, Elk Park, NC 28622",-81.965388,36.1466445
60316,Crossnore Elementary,Avery,Crossnore,"1000 Walt Clark Road, Crossnore, NC 28616",-81.9254669,36.025739
60318,Avery Middle,Avery,Newland,"102 Old Montezuma Road, Newland, NC 28657",-81.9159937,36.067157
60322,Freedom Trail Elementary,Avery,Elk Park,"6110 North US Hwy 19E, Elk Park, NC 28622",-81.965574,36.1462441
60328,Newland Elementary,Avery,Newland,"750 Linville Street, Newland, NC 28657",-81.9267812,36.0851342
60332,Riverside Elementary,Avery,Newland,"8020 US 19E Hwy South, Newland, NC 28657",-81.9663918,36.143764
60334,Blue Ridge Academy,Avery,Newland,"76 Old Montezuma Rd, Newland, NC 28657",-81.9163373,36.0678483
60700,Avery High STEM Academy,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387
60701,Avery High Viking Academy,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387
060LEA,Avery County Schools,Avery,Newland,"775 Cranberry Street, Newland, NC 28657",-81.930037,36.0963223
06A000,Grandfather Academy,Avery,Banner Elk,"64 Grandfather Home Drive, Banner Elk, NC 28604",-81.8783765,36.1521736
06B000,Williams Academy,Avery,Crossnore,"129 Allen Circle, Crossnore, NC 28616",-81.928458,36.024783
70302,"Eastern Elementary, Washington",Beaufort,Washington,"947 Hudnell Street, Washington, NC 27889",-77.0351598,35.5457142
70308,Bath Elementary,Beaufort,Bath,"110 S King Street, Bath, NC 27808",-76.8111894,35.4751685
70310,B C Ed Tech Center,Beaufort,Washington,"820 North Bridge St, Washington, NC 27899",-77.0562215,35.5523349
70311,Beaufort Co Early College High,Beaufort,Washington,"5337 Hwy 264 East, Washington, NC 27889",-76.9652678,35.5337105
70325,Chocowinity Middle,Beaufort,Chocowinity,"3831 US HWY 17 S, Chocowinity, NC 27817",-77.1007959,35.5098445
70326,Chocowinity Primary,Beaufort,Chocowinity,"606 Gray Road, Chocowinity, NC 27817",-77.0946226,35.4980489
70327,John C Tayloe Elementary,Beaufort,Washington,"910 Tarboro Street, Washington, NC 27889",-77.0639342,35.5577761
70328,John Small Elementary,Beaufort,Washington,"4103 North Market Street Ext, Washington, NC 27889",-77.0395955,35.5686437
70329,"Northeast Elementary, Pinetown",Beaufort,Pinetown,"21000 US Hwy 264 East, Pinetown, NC 27865",-76.7093004,35.5382576
70330,"Northside High, Pinetown",Beaufort,Pinetown,"7868 Free Union Church Road, Pinetown, NC 27865",-76.7299827,35.5365774
70338,P S Jones Middle,Beaufort,Washington,"4105 N Market Street Ext, Washington, NC 27889",-77.0351852,35.5990328
70339,Southside High,Beaufort,Chocowinity,"5700 Hwy 33 East, Chocowinity, NC 27817",-77.0568718,35.4461925
70340,S W Snowden Elementary,Beaufort,Aurora,"693 North 7th Street, Aurora, NC 27806",-76.7925358,35.3064178
70342,Washington High,Beaufort,Washington,"400 Slatestone Road, Washington, NC 27889",-77.0151413,35.5573276
070LEA,Beaufort County Schools,Beaufort,Washington,"321 Smaw Road, Washington, NC 27889",-77.0184721,35.5427542
07A000,Washington Montessori,Beaufort,Washington,"2330 Old Bath Hwy, Washington, NC 27889",-76.9795696,35.5398036
80311,Bertie Early College High,Bertie,Windsor,"819 Governors Road, Windsor, NC 27983",-77.0134803,36.0343083
80312,Bertie High,Bertie,Windsor,"716 US Hwy 13 North, Windsor, NC 27983",-78.0609004,35.3202529
80314,Bertie Middle,Bertie,Windsor,"652 US Hwy 13 North, Windsor, NC 27983",-76.9645761,36.0476907
80348,Aulander Elementary,Bertie,Aulander,"2515 NC Highway 305 North, Aulander, NC 27805",-77.1058429,36.2154879
80356,West Bertie Elementary,Bertie,Kelford,"3734 Governors Road, Kelford, NC 27847",-77.2149439,36.1578521
80360,Colerain Elementary,Bertie,Colerain,"202 N Academy Street, Colerain, NC 27924",-76.7710699,36.1994918
80362,Windsor Elementary,Bertie,Windsor,"104 Cooper Hill Road, Windsor, NC 27983",-76.9204929,35.987805
080LEA,Bertie County Schools,Bertie,Windsor,"715 US Highway 13 North, Windsor, NC 27983",-76.9710287,36.0502042
