district_from_state,code,name_from_state,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
Alamance-Burlington Schools,010303,ABSS Early College at ACC,Piedmont-Triad,,43.8,A,Met,84.2,
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,Piedmont-Triad,,49.8,C,Met,59.9,
Alamance-Burlington Schools,010308,Altamahaw-Ossipee Elementary,Piedmont-Triad,,46.8,C,Met,61.3,
Charter Schools,53B000,Ascend Leadership Academy Lee County,North Central,Y,17.4,D,Not Met,54.1,
Alamance-Burlington Schools,010311,Career and Technical Education Center,Piedmont-Triad,,*,I,,,
Alamance-Burlington Schools,010312,Highland Elementary,Piedmont-Triad,,37.7,B,Met,66.9,
Alamance-Burlington Schools,010320,E M Yoder Elementary,Piedmont-Triad,,40.8,B,Met,64.1,
Alamance-Burlington Schools,010324,Eastern Alamance High,Piedmont-Triad,,36.9,C,Not Met,55.2,83.2
Charter Schools,41N000,The Experiential School of Greensboro,Piedmont-Triad,,18.7,D,Not Met,50,
Alamance-Burlington Schools,010328,Edwin M Holt Elementary,Piedmont-Triad,,32.2,B,Exceeded,67.5,
Alamance-Burlington Schools,010340,Elon Elementary,Piedmont-Triad,,47.1,C,Exceeded,57.1,
Charter Schools,00A000,North Carolina Cyber Academy,Virtual,Y,19.2,D,Not Met,44.5,48.3
Alamance-Burlington Schools,010347,Audrey W. Garrett Elementary,Piedmont-Triad,Y,55.9,C,Met,53.6,
Alamance-Burlington Schools,010348,Graham High,Piedmont-Triad,,70.8,C,Met,35.5,68.7
Wilson County Schools,980390,Toisnot Middle,North Central,Y,19.9,D,Not Met,44.1,
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont-Triad,Y,55.3,F,Not Met,28.1,
Alamance-Burlington Schools,010353,Hawfields Middle,Piedmont-Triad,,53.5,B,Exceeded,68.5,
Charter Schools,61P000,"VERITAS Community School, CFA",Southwest,Y,21.6,D,Met,40.9,
Charter Schools,29A000,Davidson Charter Academy CFA,Piedmont-Triad,,22.7,D,Not Met,42.3,
Jackson County Schools,500302,Blue Ridge Early College,Western,,25.8,D,Not Met,51.4,
Alamance-Burlington Schools,010360,Hugh M Cummings High,Piedmont-Triad,,76.2,C,Met,26.1,73.6
Alamance-Burlington Schools,010362,Marvin B Smith Elementary,Piedmont-Triad,,45.5,C,Not Met,69,
Charter Schools,00B000,NC Virtual Academy,Virtual,Y,28,D,Not Met,45.3,60.2
Alamance-Burlington Schools,010350,Graham Middle,Piedmont-Triad,Y,85.1,F,Not Met,30.9,
Alamance-Burlington Schools,010374,R Homer Andrews Elementary,Piedmont-Triad,Y,53.1,C,Met,45.2,
Alamance-Burlington Schools,010378,Ray Street Academy,Piedmont-Triad,,70.2,ALT,,,
Kannapolis City Schools,132314,GW Carver Elementary,Southwest,Y,30.6,D,Met,42.7,
Alamance-Burlington Schools,010384,South Mebane Elementary,Piedmont-Triad,,41.2,B,Exceeded,69,
Alamance-Burlington Schools,010388,Southern Alamance High,Piedmont-Triad,,34.5,C,Met,56.4,85.9
Alamance-Burlington Schools,010390,Southern Alamance Middle,Piedmont-Triad,,37,C,Exceeded,59.9,
Wake County Schools,920396,Douglas Elementary,North Central,,32.9,D,Not Met,53.5,
Johnston County Schools,510410,Polenta Elementary,North Central,,35.3,D,Not Met,51.5,
Alamance-Burlington Schools,010396,Walter M Williams High,Piedmont-Triad,,52.4,B,Exceeded,59.5,88.4
Alamance-Burlington Schools,010400,Western Alamance High,Piedmont-Triad,,28.6,C,Not Met,54.3,88.4
Alamance-Burlington Schools,010403,Western Alamance Middle,Piedmont-Triad,,39.4,C,Met,61.7,
Alamance-Burlington Schools,010406,Woodlawn Middle,Piedmont-Triad,,46.3,C,Met,64.1,
Alexander County Schools,020302,Alexander Central High,Northwest,,38.3,B,Met,52.7,83.5
Alexander County Schools,020303,Alexander Early College,Northwest,,27.5,A,Met,87.3,
Alexander County Schools,020304,Bethlehem Elementary,Northwest,Y,30.9,B,Met,65.5,
Alexander County Schools,020306,East Alexander Middle,Northwest,,53.6,C,Met,57.2,
Alexander County Schools,020308,Ellendale Elementary,Northwest,Y,41.8,B,Met,67.4,
Alexander County Schools,020316,Hiddenite Elementary,Northwest,Y,61,C,Met,54,
Alexander County Schools,020320,Stony Point Elementary,Northwest,Y,60.3,C,Met,63.9,
Alexander County Schools,020324,Sugar Loaf Elementary,Northwest,Y,42.1,B,Not Met,72.5,
Alexander County Schools,020328,Taylorsville Elementary,Northwest,Y,42.2,B,Met,75.8,
Alexander County Schools,020330,West Alexander Middle,Northwest,,35.3,B,Exceeded,66.8,
Alexander County Schools,020332,Wittenburg Elementary,Northwest,Y,44.3,B,Met,69.5,
Alleghany County Schools,030304,Alleghany High,Northwest,,51.9,B,Met,56.5,89.3
Alleghany County Schools,030308,Glade Creek Elementary,Northwest,Y,66.5,B,Exceeded,63.8,
Alleghany County Schools,030316,Piney Creek Elementary,Northwest,Y,49.7,B,Exceeded,77.8,
Alleghany County Schools,030320,Sparta Elementary,Northwest,Y,69.9,C,Met,53.4,
Anson County Schools,040304,Anson Co. Early College High,Southwest,,33.6,B,Met,56.5,>95
Anson County Schools,040305,Anson Academy,Southwest,,64.5,ALT,,,
Rowan-Salisbury Schools,800316,China Grove Elementary,Southwest,Y,35.7,D,Met,42.9,
Anson County Schools,040308,Ansonville Elementary,Southwest,Y,42.1,B,Met,63.9,
Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,Southwest,Y,35.9,D,Met,33.3,
Jackson County Schools,500337,Smokey Mountain Elementary,Western,Y,36,D,Not Met,40.4,
Anson County Schools,040316,Lilesville Elementary,Southwest,Y,65.3,C,Exceeded,55.3,
Charter Schools,13B000,Cabarrus Charter Academy,Southwest,Y,36.1,D,Not Met,47,
Anson County Schools,040328,Peachland-Polkton Elem,Southwest,Y,46.9,B,Met,77.5,
Charter Schools,49G000,Iredell Charter Academy,Southwest,Y,36.1,D,Not Met,43.3,
Ashe County Schools,050302,Ashe County High,Northwest,,51.5,C,Not Met,51.4,86
Ashe County Schools,050303,Ashe County Early College High,Northwest,,36.7,A,Not Met,95,
Ashe County Schools,050305,Ashe County Middle,Northwest,,55.4,B,Met,72,
Ashe County Schools,050310,Blue Ridge Elementary,Northwest,Y,60.1,B,Exceeded,71.9,
Ashe County Schools,050330,Mountain View Elementary,Northwest,Y,63.4,B,Exceeded,69.9,
Ashe County Schools,050335,Westwood Elementary,Northwest,Y,60.5,B,Exceeded,68.2,
Avery County Schools,060302,Avery County High,Northwest,,46.9,B,Not Met,62.5,94.7
Avery County Schools,060304,Banner Elk Elementary,Northwest,Y,52.5,B,Exceeded,68.4,
Avery County Schools,060310,Cranberry Middle,Northwest,Y,53.2,B,Met,77,
Avery County Schools,060316,Crossnore Elementary,Northwest,Y,58.5,C,Met,56.2,
Avery County Schools,060318,Avery Middle,Northwest,Y,55.7,B,Exceeded,70.8,
Avery County Schools,060322,Freedom Trail Elementary,Northwest,Y,65.4,B,Exceeded,61.2,
Avery County Schools,060328,Newland Elementary,Northwest,Y,73,C,Exceeded,56.7,
Avery County Schools,060332,Riverside Elementary,Northwest,Y,51.6,C,Exceeded,52.6,
Avery County Schools,060334,Blue Ridge Academy,Northwest,,68.4,ALT,,,
Avery County Schools,060700,Avery High STEM Academy,Northwest,,27.1,A,,,>95
Rowan-Salisbury Schools,800362,Knollwood Elementary,Southwest,Y,37,D,Met,39.3,
Beaufort County Schools,070302,Eastern Elementary,Northeast,Y,70.1,C,,,
Beaufort County Schools,070308,Bath Elementary,Northeast,Y,27.7,C,Not Met,68.3,
Beaufort County Schools,070310,B C Ed Tech Center,Northeast,,79.5,ALT,,,
Beaufort County Schools,070311,Beaufort Co Early College High,Northeast,,53.1,A,Exceeded,>95,>95
Beaufort County Schools,070325,Chocowinity Middle,Northeast,Y,65.1,C,Not Met,56.4,
Beaufort County Schools,070326,Chocowinity Primary,Northeast,Y,66.6,B,Not Met,69.8,
