affiliate,name,CISNC_school,code,county,city,full_address,Longitude,Latitude,district,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
N/A,Broadview Middle,no,10310,Alamance,Burlington,"2229 Broadview Drive, Burlington, NC 27217",-79.3969707,36.0874369,Alamance-Burlington Schools,Piedmont-Triad,Y,55.3,F,Not Met,28.1,N/A
"CIS of Brunswick County, Inc.",Supply Elementary,yes,100338,Brunswick,Supply,"51 Benton Road SE, Supply, NC 28462",-78.258371,34.0251019,Brunswick County Schools,Southeast,Y,84.7,D,Not Met,44.8,N/A
N/A,B Everett Jordan Elem,no,10346,Alamance,Graham,"5827 Church Road, Graham, NC 27253",-79.3267517,35.9397887,Alamance-Burlington Schools,Piedmont-Triad,Y,59.6,D,Not Met,41.6,N/A
N/A,Graham Middle,no,10350,Alamance,Graham,"311 E Pine Street, Graham, NC 27253",-79.4052184,36.0683622,Alamance-Burlington Schools,Piedmont-Triad,Y,85.1,F,Not Met,30.9,N/A
N/A,Grove Park Elementary,no,10351,Alamance,Burlington,"141 Trail One, Burlington, NC 27215",-79.4606761,36.0800356,Alamance-Burlington Schools,Piedmont-Triad,Y,60.9,D,Met,35.3,N/A
N/A,Harvey R Newlin Elementary,no,10354,Alamance,Burlington,"316 Carden Street, Burlington, NC 27215",-79.4205411,36.0734088,Alamance-Burlington Schools,Piedmont-Triad,Y,69.1,D,Met,33.2,N/A
N/A,Haw River Elementary,no,10357,Alamance,Haw River,"701 E Main Street, Haw River, NC 27258",-79.358827,36.092396,Alamance-Burlington Schools,Piedmont-Triad,Y,55.9,D,Met,34.6,N/A
N/A,"Hillcrest Elementary, Burlington",no,10358,Alamance,Burlington,"1714 W Davis Street, Burlington, NC 27215",-79.4648653,36.1031392,Alamance-Burlington Schools,Piedmont-Triad,Y,57.6,D,Met,33.1,N/A
N/A,North Graham Elementary,no,10364,Alamance,Graham,"1025 Trollinger Road, Graham, NC 27253",-79.3777934,36.0763205,Alamance-Burlington Schools,Piedmont-Triad,Y,63.2,D,Met,42.3,N/A
N/A,"Pleasant Grove Elementary, Burlington",no,10372,Alamance,Burlington,"2847 Pleasant Grv Sch Road, Burlington, NC 27217",-79.3056019,36.217398,Alamance-Burlington Schools,Piedmont-Triad,Y,52,D,Not Met,46.9,N/A
N/A,South Graham Elementary,no,10380,Alamance,Graham,"320 Ivey Road, Graham, NC 27253",-79.3936579,36.0520937,Alamance-Burlington Schools,Piedmont-Triad,Y,46.4,D,Met,45.3,N/A
N/A,Sylvan Elementary,no,10392,Alamance,Snow Camp,"7718 Sylvan Road, Snow Camp, NC 27349",-79.4365221,35.8799967,Alamance-Burlington Schools,Piedmont-Triad,Y,62.3,D,Met,43.8,N/A
N/A,Turrentine Middle,no,10394,Alamance,Burlington,"1710 Edgewood Avenue, Burlington, NC 27215",-79.4623901,36.0907285,Alamance-Burlington Schools,Piedmont-Triad,Y,65,D,Not Met,41.5,N/A
"CIS of Brunswick County, Inc.",Cedar Grove Middle,yes,100309,Brunswick,Supply,"750 Grove Trail SW, Supply, NC 28462",-78.270573,33.9666753,Brunswick County Schools,Southeast,Y,75.5,C,Exceeded,50.9,N/A
"CIS of Brunswick County, Inc.",Waccamaw,yes,100344,Brunswick,Ash,"5901 Waccamaw School Road NW, Ash, NC 28420",-78.5152684,34.063384,Brunswick County Schools,Southeast,Y,73.3,C,Met,56.9,N/A
"CIS of Brunswick County, Inc.",Leland Middle,yes,100316,Brunswick,Leland,"927 Old Fayetteville Road NE, Leland, NC 28451",-78.033794,34.23541,Brunswick County Schools,Southeast,Y,69.4,D,Not Met,51.3,N/A
"CIS of Brunswick County, Inc.",Shallotte Middle,yes,100332,Brunswick,Shallotte,"225 Village Road, Shallotte, NC 28459",-78.3883709,33.9637249,Brunswick County Schools,Southeast,Y,66.1,C,Met,59.8,N/A
"CIS of Brunswick County, Inc.",South Brunswick Middle,yes,100335,Brunswick,Southport,"100 Cougar Drive BSL, Southport, NC 28461",-78.048488,34.00855,Brunswick County Schools,Southeast,Y,61.9,C,Met,53,N/A
CIS of Buncombe County/ Children First,Eblen Intermediate,yes,110451,Buncombe,Asheville,"59 Lee's Creek Road, Asheville, NC 28806",-82.6198898,35.6186238,Buncombe County Schools,Western,Y,73.6,C,Exceeded,56.5,N/A
CIS of Buncombe County/ Children First,Johnston Elementary,yes,110372,Buncombe,Asheville,"230 Johnston Boulevard, Asheville, NC 28806",-82.6198369,35.5866295,Buncombe County Schools,Western,Y,56.3,F,Not Met,30.7,N/A
CIS of Buncombe County/ Children First,Emma Elementary,yes,110348,Buncombe,Asheville,"37 Brickyard Road, Asheville, NC 28806",-82.5922712,35.5983122,Buncombe County Schools,Western,Y,45.7,C,Met,49.2,N/A
N/A,Anson High School,no,40306,Anson,Wadesboro,"96 Anson High School Road, Wadesboro, NC 28170",-80.1037392,34.9768643,Anson County Schools,Southwest,N,50.7,D,Not Met,23.5,86.2
