affiliate,name,NCES,district,street,city,state,zip,CISNC_school
CIS of Northwest North Carolina,Boomer Ferguson Elementary School,3.70E+11,Wilkes County Schools,556 Boomer Ferguson School Road ,Boomer,NC,28606,yes
CIS of Northwest North Carolina,CB Eller Elementary School,3.70E+11,Wilkes County Schools,1288 Cb Eller School Road ,Elkin,NC,28621,yes
CIS of Northwest North Carolina,CC Wright Elementary School,3.70E+11,Wilkes County Schools,200 C C Wright School Road ,North Wilkesboro,NC,28659,yes
CIS of Northwest North Carolina,Ellendale Elementary School,3.70E+11,Alexander County Schools,175 Ellendale Park Lane ,Township of Taylorsville,NC,28681,yes
CIS of Northwest North Carolina,Glade Creek School,3.70E+11,Alleghany School District,32 Glade Creek School Road ,Ennice,NC,28623,yes
CIS of Northwest North Carolina,Hiddenite Elementary School,3.70E+11,Alexander County Schools,374 Sulphur Springs Road ,Hiddenite,NC,28636,yes
CIS of Northwest North Carolina,Millers Creek Elementary School,3.70E+11,Wilkes County Schools,4320 North Carolina 16 ,Millers Creek,NC,28651,yes
CIS of Northwest North Carolina,Moravian Falls Elementary School,3.70E+11,Wilkes County Schools,2001 Moravian Falls Road ,Moravian Falls,NC,28654,yes
CIS of Northwest North Carolina,Mountain View Elementary School,3.70E+11,Wilkes County Schools,5464 Mountain View Road ,Hays,NC,28635,yes
CIS of Northwest North Carolina,Mt. Pleasant Elementary School,3.70E+11,Wilkes County Schools,532 Champion Mount Pleasant Road ,Ferguson,NC,28624,yes
CIS of Northwest North Carolina,Mulberry Elementary School,3.70E+11,Wilkes County Schools,109 Mulberry School Road ,North Wilkesboro,NC,28659,yes
CIS of Northwest North Carolina,North Wilkesboro Elementary School,3.70E+11,Wilkes County Schools,200 Flint Hill Road ,North Wilkesboro,NC,28659,yes
CIS of Northwest North Carolina,Piney Creek School,3.70E+11,Alleghany School District,559 Piney Creek School Road ,Piney Creek,NC,28663,yes
CIS of Northwest North Carolina,Roaring River Elementary School,3.70E+11,Wilkes County Schools,PO Box 802 ,North Wilkesboro,NC,28659,yes
CIS of Northwest North Carolina,Ronda Clingman Elementary School,3.70E+11,Wilkes County Schools,316 Ronda Clingman School Road ,Ronda,NC,28670,yes
CIS of Northwest North Carolina,Sparta Elementary School,3.70E+11,Alleghany County Schools,450 North Main Street ,Sparta,NC,28675,yes
CIS of Northwest North Carolina,Stony Point Elementary School,3.70E+11,Alexander County Schools,311 Stony Point School Road ,Stony Point,NC,28678,yes
CIS of Northwest North Carolina,Taylorsville Elementary School,3.70E+11,Alexander County Schools,100 7th Street Southwest ,Township of Taylorsville,NC,28681,yes
CIS of Northwest North Carolina,Traphill Elementary School,3.70E+11,Wilkes County School,9794 Traphill Road ,Traphill,NC,28685,yes
CIS of Northwest North Carolina,Wilkesboro Elementary School,3.70E+11,Wilkes County Schools,1248 School Street ,Wilkesboro,NC,28697,yes
CIS of Northwest North Carolina,Wittenburg Elementary School,3.70E+11,Alexander County Schools,7300 Church Road ,Township of Taylorsville,NC,28681,yes
"CIS of Brunswick County, Inc.", Shallotte Middle,3.70E+11,Brunswick County Schools,225 Village Road ,Shallotte,NC,28470,yes
CIS of Northwest North Carolina,Ashe County Middle School,3.70E+11,Ashe County Schools,255 Northwest Lane ,Warrensville,NC,28693,yes
CIS of Northwest North Carolina,Central Wilkes Middle School,3.70E+11,Wilkes County Schools,3541 North Old North Carolina Highway 16 ,Moravian Falls,NC,28654,yes
