code,name,eog_score_latino
10303,ABSS Early College at ACC,70.6
10304,Alexander Wilson Elementary,45.2
10308,Altamahaw-Ossipee Elementary,49.2
10310,Broadview Middle,33.2
10311,Career and Technical Education Center,N/A
10312,Highland Elementary,51.1
10320,E M Yoder Elementary,57.1
10324,Eastern Alamance High,50.5
10326,Eastlawn Elementary,39.7
10328,Edwin M Holt Elementary,N/A
10340,Elon Elementary,42.2
10346,B. Everett Jordan Elementary,32.6
10347,Audrey W. Garrett Elementary,46.4
10348,Graham High,43.9
10350,Graham Middle,33.6
10351,Grove Park Elementary,31.5
10353,Hawfields Middle,61.7
10354,Harvey R Newlin Elementary,40.4
10357,Haw River Elementary,33.5
10358,Hillcrest Elementary,39.6
10360,Hugh M Cummings High,28
10362,Marvin B Smith Elementary,53.5
10364,North Graham Elementary,45.4
10372,Pleasant Grove Elementary,47.5
10374,R Homer Andrews Elementary,48.9
10378,Ray Street Academy,N/A
10380,South Graham Elementary,41.7
10384,South Mebane Elementary,57.9
10388,Southern Alamance High,49
10390,Southern Alamance Middle,54.7
10392,Sylvan Elementary,36.1
10394,Turrentine Middle,33.4
10396,Walter M Williams High,64.1
10400,Western Alamance High,31.4
10403,Western Alamance Middle,48.2
10406,Woodlawn Middle,49.5
20302,Alexander Central High,36.4
20303,Alexander Early College,N/A
20304,Bethlehem Elementary,N/A
20306,East Alexander Middle,53.5
20308,Ellendale Elementary,N/A
20316,Hiddenite Elementary,34.8
20320,Stony Point Elementary,N/A
20324,Sugar Loaf Elementary,N/A
20328,Taylorsville Elementary,68.8
20330,West Alexander Middle,70
20332,Wittenburg Elementary,N/A
30304,Alleghany High,60.5
30308,Glade Creek Elementary,56.4
30316,Piney Creek Elementary,N/A
30320,Sparta Elementary,41.8
40304,Anson Co. Early College High,N/A
40305,Anson Academy,N/A
40306,Anson High School,N/A
40308,Ansonville Elementary,N/A
40309,Anson Middle,36.4
40311,Wadesboro Primary,N/A
40316,Lilesville Elementary,N/A
40324,Morven Elementary,N/A
40328,Peachland-Polkton Elem,65.6
40330,Wadesboro Elementary,N/A
50302,Ashe County High,34
50303,Ashe County Early College High,N/A
50305,Ashe County Middle,73.6
50310,Blue Ridge Elementary,40.6
50330,Mountain View Elementary,61.1
50335,Westwood Elementary,61.1
60302,Avery County High,N/A
60304,Banner Elk Elementary,N/A
60310,Cranberry Middle,N/A
60316,Crossnore Elementary,26.7
60318,Avery Middle,48.9
60322,Freedom Trail Elementary,N/A
60328,Newland Elementary,40.7
60332,Riverside Elementary,N/A
60334,Blue Ridge Academy,N/A
60700,Avery High STEM Academy,N/A
60701,Avery High Viking Academy,N/A
70302,Eastern Elementary,N/A
70308,Bath Elementary,64.5
70310,B C Ed Tech Center,N/A
70311,Beaufort Co Early College High,N/A
70325,Chocowinity Middle,63.8
70326,Chocowinity Primary,67.3
70327,John C Tayloe Elementary,51.5
70328,John Small Elementary,52.7
70329,Northeast Elementary,47.9
70330,Northside High,N/A
70338,P S Jones Middle,54.3
70339,Southside High,N/A
70340,S W Snowden Elementary,N/A
111302,Asheville High,51.5
70342,Washington High,29
80311,Bertie Early College High,N/A
80312,Bertie High,N/A
80314,Bertie Middle,N/A
80348,Aulander Elementary,N/A
80356,West Bertie Elementary,N/A
80360,Colerain Elementary,N/A
80362,Windsor Elementary,N/A
90315,Bladenboro Middle,48.3
90317,Bladenboro Primary,52.4
90318,Bladen Lakes Primary,54.3
90320,Clarkton School of Discovery,68.2
90324,Dublin Primary,39.7
90328,East Arcadia Elementary,N/A
90332,Elizabethtown Middle,53.8
90333,Elizabethtown Primary,69
90352,Plain View Primary,32.7
90365,Tar Heel Middle,48.6
90368,West Bladen High,37.7
90376,Bladen Early College,N/A
100302,Belville Elementary,50.8
100304,Bolivia Elementary,N/A
100307,Brunswick County Early College,N/A
100308,The COAST,N/A
100309,Cedar Grove Middle,43.4
100310,Jessie Mae Monroe Elementary,40.2
100316,Leland Middle,49.7
100320,Lincoln Elementary,37.1
100326,North Brunswick High,49.4
100332,Shallotte Middle,52.3
90330,East Bladen High,43.6
100335,South Brunswick Middle,43.8
100336,Southport Elementary,44.4
100338,Supply Elementary,37.9
100339,Town Creek Elementary,63.3
100340,Union Elementary,75
100342,Virginia Williamson Elem,50
100344,Waccamaw,52.4
100348,West Brunswick High,42.3
110303,Community High School,N/A
110304,Reynolds High,61.8
110306,Reynolds Middle,42.1
110308,Barnardsville Elementary,N/A
110318,Black Mountain Elementary,N/A
110320,Black Mountain Primary,N/A
110322,Early College,80
110323,Middle College,N/A
110324,Candler Elementary,46
110326,Cane Creek Middle,63.3
110332,Bell Elementary,42.9
110336,Owen High,54.2
110338,Owen Middle,43
100334,South Brunswick High,29
110340,Erwin High,41.1
110342,Erwin Middle,39.4
110348,Emma Elementary,52.4
110352,Enka High,66.3
110356,Fairview Elementary,48.1
110366,Glen Arden Elementary,N/A
110368,Haw Creek Elementary,N/A
110370,Hominy Valley Elementary,55
110372,Johnston Elementary,36.1
110376,Leicester Elementary,N/A
110379,North Buncombe Elementary,43.8
110380,North Buncombe High,43.2
110381,North Buncombe Middle,53.9
110382,North Windy Ridge Intermediate,50.6
110384,Oakley Elementary,44.9
110388,Pisgah Elementary,N/A
110401,Enka Middle,52.6
110408,Sand Hill-Venable Elem,51
110410,Avery's Creek Elementary,42
110412,Williams Elementary,31.1
110416,Roberson High,40.4
110420,Valley Springs Middle,45.1
110422,Estes Elementary,53.9
110425,Enka Intermediate,48.4
110428,Weaverville Elementary,53.6
110432,Weaverville Primary,N/A
110436,West Buncombe Elementary,46.8
110444,Woodfin Elementary,N/A
110450,Koontz Intermediate,40.5
110451,Eblen Intermediate,48.3
110500,Nesbitt Discovery Academy,N/A
111304,Hall Fletcher Elementary,45.2
111306,Isaac Dickson Elementary,81
111307,Asheville Primary,N/A
111312,Claxton Elementary,52.2
111332,Ira B Jones Elementary,N/A
111356,Asheville Middle,48.4
111360,Vance Elementary,46.2
111369,Montford North Star Academy,N/A
111700,School of Inquiry and Life Sciences,N/A
120308,Hallyburton Academy,N/A
120310,Burke Middle College,N/A
120312,Drexel Elementary,60.9
120314,East Burke High,N/A
120315,East Burke Middle,58.2
120316,Forest Hill Elementary,45.7
120318,Freedom High,54.4
120320,George Hildebrand Elementary,N/A
120324,Glen Alpine Elementary,64.7
120334,Heritage Middle,63
120338,Hildebran Elementary,N/A
120340,Hillcrest Elementary,45.6
120344,Icard Elementary,66.7
120346,Jimmy C Draughn High School,N/A
120350,Liberty Middle,52.2
120352,North Liberty,N/A
120354,Mountain View Elementary,41.1
120360,Mull Elementary,N/A
120364,Oak Hill Elementary,N/A
120368,Ray Childers Elementary,40.9
120370,Robert L. Patton High School,55.4
120374,Salem Elementary,N/A
120376,Table Rock Middle,46.3
120380,Valdese Elementary,60
120386,W A Young Elementary,N/A
120390,Walter R Johnson Middle,48.3
130304,A T Allen Elementary,54.1
130307,Cox Mill High School,68.7
130308,Bethel Elementary,52.2
130309,Beverly Hills Elementary,44.5
130310,Central Cabarrus High,50.9
130311,Coltrane-Webb Elementary,39
130312,Harrisburg Elementary,63
130313,Concord Middle,26.8
130314,Concord High,40
130315,J N Fries Magnet School,55.9
130316,Jay M Robinson High,31.8
130317,Cabarrus Co Opportunity School,N/A
130318,C C Griffin Middle,42.4
130319,Cox Mill Elementary,78.2
130320,Harris Road Middle,72.9
130321,Carl A Furr Elementary,54.5
130322,Mount Pleasant Elementary,57.5
130323,Mount Pleasant Middle,63.8
