code,name,eog_score_white
010303,ABSS Early College at ACC,90.6
010304,Alexander Wilson Elementary,65.1
010308,Altamahaw-Ossipee Elementary,70.9
010310,Broadview Middle,36.6
010311,Career and Technical Education Center,N/A
010312,Highland Elementary,74.6
010320,E M Yoder Elementary,70.5
010324,Eastern Alamance High,63.9
010326,Eastlawn Elementary,39.1
010328,Edwin M Holt Elementary,70.7
010340,Elon Elementary,67.4
010346,B. Everett Jordan Elementary,48.2
010347,Audrey W. Garrett Elementary,60.2
010348,Graham High,32.3
010350,Graham Middle,38.8
010351,Grove Park Elementary,49
010353,Hawfields Middle,74
010354,Harvey R Newlin Elementary,34.1
010357,Haw River Elementary,41.9
010358,Hillcrest Elementary,43.2
010360,Hugh M Cummings High,41.7
010362,Marvin B Smith Elementary,81.3
010364,North Graham Elementary,43.3
010372,Pleasant Grove Elementary,53.8
010374,R Homer Andrews Elementary,N/A
010378,Ray Street Academy,N/A
010380,South Graham Elementary,57.6
010384,South Mebane Elementary,78.5
010388,Southern Alamance High,60.1
010390,Southern Alamance Middle,61.4
010392,Sylvan Elementary,46.1
010394,Turrentine Middle,63.2
010396,Walter M Williams High,75.8
010400,Western Alamance High,61.9
010403,Western Alamance Middle,68
010406,Woodlawn Middle,78.8
020302,Alexander Central High,56
020303,Alexander Early College,88.4
020304,Bethlehem Elementary,64.1
020306,East Alexander Middle,59.8
020308,Ellendale Elementary,69.4
020316,Hiddenite Elementary,59.9
020320,Stony Point Elementary,65.9
020324,Sugar Loaf Elementary,75
020328,Taylorsville Elementary,76.1
020330,West Alexander Middle,66.7
020332,Wittenburg Elementary,69.2
030304,Alleghany High,55.3
030308,Glade Creek Elementary,66.8
030316,Piney Creek Elementary,77.7
030320,Sparta Elementary,57.8
040304,Anson Co. Early College High,57.6
040305,Anson Academy,N/A
040306,Anson High School,37.5
040308,Ansonville Elementary,82.5
040309,Anson Middle,47.7
040311,Wadesboro Primary,N/A
040316,Lilesville Elementary,67.1
040324,Morven Elementary,N/A
040328,Peachland-Polkton Elem,84.4
040330,Wadesboro Elementary,31.8
050302,Ashe County High,53.5
050303,Ashe County Early College High,94.4
050305,Ashe County Middle,71.5
050310,Blue Ridge Elementary,74
050330,Mountain View Elementary,72.1
050335,Westwood Elementary,69.1
060302,Avery County High,65.2
060304,Banner Elk Elementary,69.2
060310,Cranberry Middle,77.5
060316,Crossnore Elementary,62.2
060318,Avery Middle,74.7
060322,Freedom Trail Elementary,60.6
060328,Newland Elementary,61.1
060332,Riverside Elementary,50.9
060334,Blue Ridge Academy,N/A
060700,Avery High STEM Academy,N/A
060701,Avery High Viking Academy,N/A
070302,Eastern Elementary,N/A
070308,Bath Elementary,69.9
070310,B C Ed Tech Center,N/A
070311,Beaufort Co Early College High,>95
070325,Chocowinity Middle,67.2
070326,Chocowinity Primary,81.7
070327,John C Tayloe Elementary,68
070328,John Small Elementary,74.2
070329,Northeast Elementary,59.7
070330,Northside High,50.8
070338,P S Jones Middle,66.4
070339,Southside High,58.1
070340,S W Snowden Elementary,50
070342,Washington High,54.9
080311,Bertie Early College High,>95
080312,Bertie High,N/A
080314,Bertie Middle,70
080348,Aulander Elementary,N/A
080356,West Bertie Elementary,N/A
080360,Colerain Elementary,N/A
080362,Windsor Elementary,71.2
090315,Bladenboro Middle,56
090317,Bladenboro Primary,61.4
090318,Bladen Lakes Primary,41.3
090320,Clarkton School of Discovery,75.6
090324,Dublin Primary,51.4
090328,East Arcadia Elementary,N/A
090330,East Bladen High,60.6
090332,Elizabethtown Middle,54.2
090333,Elizabethtown Primary,51.4
090352,Plain View Primary,N/A
090365,Tar Heel Middle,53.3
090368,West Bladen High,51.8
090376,Bladen Early College,60
100302,Belville Elementary,71.3
100304,Bolivia Elementary,69.1
