CO_NAME,hue,,
ANSON,#3182bd,,
BEAUFORT,#3182bd,,
BERTIE,#3182bd,,
BLADEN,#3182bd,,
CALDWELL,#3182bd,,
CASWELL,#3182bd,,
CHOWAN,#3182bd,,
CLEVELAND,#3182bd,,
COLUMBUS,#3182bd,,
CUMBERLAND,#3182bd,,
DUPLIN,#3182bd,,
EDGECOMBE,#3182bd,,
GRAHAM,#3182bd,,
GREENE,#3182bd,,
HALIFAX,#3182bd,,
HERTFORD,#3182bd,,
HYDE,#3182bd,,
JONES,#3182bd,,
LENOIR,#3182bd,,
MARTIN,#3182bd,,
MITCHELL,#3182bd,,
NASH,#3182bd,,
NORTHAMPTON,#3182bd,,
ONSLOW,#3182bd,,
PASQUOTANK,#3182bd,,
PERQUIMANS,#3182bd,,
PITT,#3182bd,,
RICHMOND,#3182bd,,
ROBESON,#3182bd,,
ROCKINGHAM,#3182bd,,
RUTHERFORD,#3182bd,,
SAMPSON,#3182bd,,
SCOTLAND,#3182bd,,
SWAIN,#3182bd,,
TYRRELL,#3182bd,,
VANCE,#3182bd,,
WARREN,#3182bd,,
WASHINGTON,#3182bd,,
WAYNE,#3182bd,,
WILKES,#3182bd,,
WILSON,#3182bd,,
ALAMANCE,#6baed6,,
ALEXANDER,#6baed6,,
ALLEGHANY,#6baed6,,
ASHE,#6baed6,,
AVERY,#6baed6,,
BURKE,#6baed6,,
CAMDEN,#6baed6,,
CARTERET,#6baed6,,
CATAWBA,#6baed6,,
CHEROKEE,#6baed6,,
CLAY,#6baed6,,
CRAVEN,#6baed6,,
DARE,#6baed6,,
DAVIDSON,#6baed6,,
FORSYTH,#6baed6,,
FRANKLIN,#6baed6,,
GASTON,#6baed6,,
GATES,#6baed6,,
GRANVILLE,#6baed6,,
GUILFORD,#6baed6,,
HARNETT,#6baed6,,
HOKE,#6baed6,,
JACKSON,#6baed6,,
LEE,#6baed6,,
MACON,#6baed6,,
MADISON,#6baed6,,
MCDOWELL,#6baed6,,
MONTGOMERY,#6baed6,,
PAMLICO,#6baed6,,
PERSON,#6baed6,,
POLK,#6baed6,,
RANDOLPH,#6baed6,,
ROWAN,#6baed6,,
STANLY,#6baed6,,
STOKES,#6baed6,,
SURRY,#6baed6,,
TRANSYLVANIA,#6baed6,,
YADKIN,#6baed6,,
YANCEY,#6baed6,,
BRUNSWICK,#bdd7e7,,
BUNCOMBE,#bdd7e7,,
CABARRUS,#bdd7e7,,
CHATHAM,#bdd7e7,,
CURRITUCK,#bdd7e7,,
DAVIE,#bdd7e7,,
DURHAM,#bdd7e7,,
HAYWOOD,#bdd7e7,,
HENDERSON,#bdd7e7,,
IREDELL,#bdd7e7,,
JOHNSTON,#bdd7e7,,
LINCOLN,#bdd7e7,,
MECKLENBURG,#bdd7e7,,
MOORE,#bdd7e7,,
NEW HANOVER,#bdd7e7,,
ORANGE,#bdd7e7,,
PENDER,#bdd7e7,,
UNION,#bdd7e7,,
WAKE,#bdd7e7,,
WATAUGA,#bdd7e7,,
