district,code,name,region,grades,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
Alamance-Burlington Schools,010310,Broadview Middle,Piedmont-Triad,06-08,Y,55.3,F,Not Met,28.1,N/A
Alamance-Burlington Schools,010350,Graham Middle,Piedmont-Triad,06-08,Y,85.1,F,Not Met,30.9,N/A
Anson County Schools,040330,Wadesboro Elementary,Southwest,04-05,Y,71.9,F,Not Met,22,N/A
Anson County Schools,040311,Wadesboro Primary,Southwest,0K-03,Y,79.3,F,Exceeded,24.4,N/A
Avery County Schools,060701,Avery High Viking Academy,Northwest,09-09,N,60,F,Met,10.5,N/A
Buncombe County Schools,110372,Johnston Elementary,Western,0K-04,Y,56.3,F,Not Met,30.7,N/A
Charlotte-Mecklenburg Schools,600428,James Martin Middle,Southwest,06-08,Y,42.5,F,Not Met,32.9,N/A
Charlotte-Mecklenburg Schools,600514,Ranson Middle,Southwest,06-08,Y,55.7,F,Not Met,27.9,N/A
Charlotte-Mecklenburg Schools,600583,Wilson STEM Academy,Southwest,06-08,Y,64.7,F,Not Met,24.3,N/A
Charlotte-Mecklenburg Schools,600308,Allenbrook Elementary,Southwest,PK-05,Y,73.4,F,Not Met,30.4,N/A
Charlotte-Mecklenburg Schools,600489,Bruns Avenue Elementary,Southwest,PK-05,Y,75.3,F,Met,20.2,N/A
Charlotte-Mecklenburg Schools,600515,Renaissance West STEAM Academy,Southwest,PK-07,Y,76.1,F,Not Met,22.4,N/A
Charlotte-Mecklenburg Schools,600374,Druid Hills Academy,Southwest,PK-08,Y,79.5,F,Not Met,25.8,N/A
Charter Schools,32Q000,Reaching All Minds Academy,North Central,0K-07,Y,21.1,F,Met,29,N/A
Charter Schools,61U000,UpROAR Leadership Academy,Southwest,05-09,Y,28.6,F,Not Met,7.2,N/A
Charter Schools,74B000,Ignite Innovation Academy - Pitt,Northeast,0K-08,Y,47.8,F,Not Met,18.6,N/A
Charter Schools,06A000,Grandfather Academy,Northwest,01-12,Y,50,F,N/A,<5,N/A
Charter Schools,60V000,Charlotte Learning Academy,Southwest,06-12,Y,52.5,F,Not Met,17.3,88.2
Charter Schools,80B000,Essie Mae Kiser Foxx Charter,Southwest,0K-04,Y,60,F,Met,9.5,N/A
Charter Schools,34D000,Carter G Woodson School,Piedmont-Triad,0K-12,Y,67.3,F,Not Met,26.3,83.3
Charter Schools,09A000,Paul R Brown Leadership Academy,Sandhills,06-12,Y,72.3,F,Met,27.3,N/A
Charter Schools,08A000,Three Rivers Academy,Northeast,0K-07,Y,72.4,F,Not Met,8.6,N/A
Charter Schools,67B000,Z.E.C.A. School of Arts and Technology,Southeast,0K-08,Y,77,F,Met,25.9,N/A
Charter Schools,60P000,Charlotte Choice Charter,Southwest,0K-08,Y,79.1,F,Not Met,27.9,N/A
Charter Schools,54A000,Children's Village Academy,Southeast,0K-08,Y,91.3,F,Not Met,27.8,N/A
Cleveland County Schools,230342,Graham Elementary,Southwest,PK-04,Y,78.3,F,Not Met,25,N/A
Cumberland County Schools,260444,Teresa C Berrien Elementary,Sandhills,0K-05,Y,90.2,F,Not Met,25.4,N/A
Durham Public Schools,320374,C C Spaulding Elementary,North Central,PK-05,Y,74.6,F,Met,25.8,N/A
Edgecombe County Public School,330332,Phillips Middle,North Central,06-08,Y,64.9,F,Not Met,19.8,N/A
Edgecombe County Public School,330354,Stocks Elementary,North Central,PK-05,Y,66.2,F,Not Met,27.9,N/A
Forsyth County Schools,340476,Old Town Elementary,Piedmont-Triad,PK-05,Y,61,F,Not Met,31.3,N/A
Forsyth County Schools,340400,Ibraham Elementary,Piedmont-Triad,PK-05,Y,69.2,F,Not Met,23.2,N/A
Forsyth County Schools,340368,Easton Elementary School,Piedmont-Triad,PK-05,Y,70.4,F,Met,23.1,N/A
Forsyth County Schools,340568,Winston-Salem Preparatory Acad,Piedmont-Triad,06-12,Y,70.9,F,Not Met,15.9,>95
Forsyth County Schools,340492,Philo-Hill Magnet Academy,Piedmont-Triad,06-08,Y,72.4,F,Not Met,15.2,N/A
Forsyth County Schools,340424,Kimberley Park Elementary,Piedmont-Triad,PK-05,Y,79.3,F,Met,16.1,N/A
Forsyth County Schools,340490,Petree Elementary,Piedmont-Triad,PK-05,Y,80,F,Met,17.2,N/A
Forsyth County Schools,340308,Ashley Academy,Piedmont-Triad,PK-05,Y,81.5,F,Met,19.4,N/A
Granville County Schools,390334,Northern Granville Middle,North Central,06-08,Y,76.8,F,Not Met,31.6,N/A
Guilford County Schools,410398,Doris Henderson Newcomers Sch,Piedmont-Triad,03-12,Y,40.8,F,N/A,<5,N/A
Guilford County Schools,410592,Welborn Middle,Piedmont-Triad,06-08,Y,65.3,F,Not Met,31.9,N/A
Guilford County Schools,410469,Montlieu Academy of Technology,Piedmont-Triad,PK-05,Y,67.4,F,Not Met,33.6,N/A
Guilford County Schools,410349,Ceasar Cone Elementary,Piedmont-Triad,PK-05,Y,82,F,Not Met,26,N/A
