code,name,eog_score_EDS
10303,ABSS Early College at ACC,77.4
10304,Alexander Wilson Elementary,42.9
10308,Altamahaw-Ossipee Elementary,45.7
10310,Broadview Middle,22.1
10311,Career and Technical Education Center,N/A
10312,Highland Elementary,48.1
10320,E M Yoder Elementary,45.1
10324,Eastern Alamance High,36.7
10326,Eastlawn Elementary,29.8
10328,Edwin M Holt Elementary,45.1
10340,Elon Elementary,42.3
10346,B. Everett Jordan Elementary,29.5
10347,Audrey W. Garrett Elementary,42.9
10348,Graham High,35.7
10350,Graham Middle,28.7
10351,Grove Park Elementary,26.3
10353,Hawfields Middle,56.4
10354,Harvey R Newlin Elementary,30.2
10357,Haw River Elementary,23.5
10358,Hillcrest Elementary,26.1
10360,Hugh M Cummings High,26.8
10362,Marvin B Smith Elementary,52.6
10364,North Graham Elementary,37.8
10372,Pleasant Grove Elementary,36.2
10374,R Homer Andrews Elementary,37.6
10378,Ray Street Academy,N/A
10380,South Graham Elementary,37
10384,South Mebane Elementary,50.8
10388,Southern Alamance High,40.7
10390,Southern Alamance Middle,44.2
10392,Sylvan Elementary,33.7
10394,Turrentine Middle,29.4
10396,Walter M Williams High,46.9
10400,Western Alamance High,27.7
10403,Western Alamance Middle,44.6
10406,Woodlawn Middle,49.1
20302,Alexander Central High,40.3
20303,Alexander Early College,72.7
20304,Bethlehem Elementary,55.6
20306,East Alexander Middle,51.4
20308,Ellendale Elementary,57.6
20316,Hiddenite Elementary,47.3
20320,Stony Point Elementary,57.4
20324,Sugar Loaf Elementary,64.3
20328,Taylorsville Elementary,76
20330,West Alexander Middle,50.8
20332,Wittenburg Elementary,61.2
30304,Alleghany High,54.1
30308,Glade Creek Elementary,59.7
30316,Piney Creek Elementary,66.3
30320,Sparta Elementary,45.3
40304,Anson Co. Early College High,60
40305,Anson Academy,N/A
40306,Anson High School,17.8
40308,Ansonville Elementary,45.6
40309,Anson Middle,27.9
40311,Wadesboro Primary,18.5
40316,Lilesville Elementary,51.4
40324,Morven Elementary,33.3
40328,Peachland-Polkton Elem,61.4
40330,Wadesboro Elementary,20.6
50302,Ashe County High,42.7
50303,Ashe County Early College High,N/A
50305,Ashe County Middle,65.2
50310,Blue Ridge Elementary,68.3
50330,Mountain View Elementary,62
50335,Westwood Elementary,58.8
60302,Avery County High,52.9
60304,Banner Elk Elementary,62.5
60310,Cranberry Middle,66.8
60316,Crossnore Elementary,46
60318,Avery Middle,61.7
60322,Freedom Trail Elementary,55.8
60328,Newland Elementary,51.3
60332,Riverside Elementary,33.3
60334,Blue Ridge Academy,N/A
60700,Avery High STEM Academy,N/A
60701,Avery High Viking Academy,N/A
70302,Eastern Elementary,N/A
70308,Bath Elementary,58.7
70310,B C Ed Tech Center,N/A
70311,Beaufort Co Early College High,>95
70325,Chocowinity Middle,45.8
70326,Chocowinity Primary,61.9
70327,John C Tayloe Elementary,46.1
70328,John Small Elementary,46.4
70329,Northeast Elementary,41.5
70330,Northside High,27
70338,P S Jones Middle,40.3
70339,Southside High,36.5
70340,S W Snowden Elementary,44
111302,Asheville High,28.1
80311,Bertie Early College High,N/A
80314,Bertie Middle,39.5
80348,Aulander Elementary,42.9
80356,West Bertie Elementary,44.8
80360,Colerain Elementary,45.3
80362,Windsor Elementary,47.2
90315,Bladenboro Middle,44
90317,Bladenboro Primary,50.9
90318,Bladen Lakes Primary,46.9
90320,Clarkton School of Discovery,44
90324,Dublin Primary,37.7
90328,East Arcadia Elementary,33.3
90330,East Bladen High,38.3
70342,Washington High,22.7
90332,Elizabethtown Middle,36.3
90333,Elizabethtown Primary,44.6
90352,Plain View Primary,39
90365,Tar Heel Middle,39.7
90368,West Bladen High,34
100302,Belville Elementary,51.6
100304,Bolivia Elementary,63.5
100307,Brunswick County Early College,>95
100308,The COAST,N/A
100309,Cedar Grove Middle,45.9
100310,Jessie Mae Monroe Elementary,46.1
100316,Leland Middle,45.1
100320,Lincoln Elementary,41
100326,North Brunswick High,48.2
80312,Bertie High,25.9
100332,Shallotte Middle,51.7
100334,South Brunswick High,46.6
100335,South Brunswick Middle,42.3
100336,Southport Elementary,51.2
100338,Supply Elementary,41.8
100339,Town Creek Elementary,63.4
100340,Union Elementary,79.5
100342,Virginia Williamson Elem,53.9
100344,Waccamaw,52.4
100348,West Brunswick High,43
110303,Community High School,N/A
90376,Bladen Early College,47.7
110304,Reynolds High,54.8
110306,Reynolds Middle,48.7
110308,Barnardsville Elementary,47.6
110318,Black Mountain Elementary,53.1
110320,Black Mountain Primary,56.6
110322,Early College,75.9
110323,Middle College,N/A
110324,Candler Elementary,46.7
110326,Cane Creek Middle,54.3
110332,Bell Elementary,47.1
110336,Owen High,55.6
110338,Owen Middle,50.9
110340,Erwin High,36.4
110342,Erwin Middle,39.9
