code,name,eog_score_black
010303,ABSS Early College at ACC,N/A
010304,Alexander Wilson Elementary,57.1
010308,Altamahaw-Ossipee Elementary,31.6
010310,Broadview Middle,18.3
010311,Career and Technical Education Center,N/A
010312,Highland Elementary,52.8
010320,E M Yoder Elementary,46.6
010324,Eastern Alamance High,39.7
010326,`,31.1
010328,Edwin M Holt Elementary,N/A
010340,Elon Elementary,38.7
010346,B. Everett Jordan Elementary,N/A
010347,Audrey W. Garrett Elementary,39.6
010348,Graham High,22.4
010350,Graham Middle,21
010351,Grove Park Elementary,27.2
010353,Hawfields Middle,59.4
010354,Harvey R Newlin Elementary,25.4
010357,Haw River Elementary,32
010358,Hillcrest Elementary,25.7
010360,Hugh M Cummings High,18.3
010362,Marvin B Smith Elementary,52.2
010364,North Graham Elementary,32.1
010372,Pleasant Grove Elementary,27.7
010374,R Homer Andrews Elementary,32.4
010378,Ray Street Academy,N/A
010380,South Graham Elementary,35.3
010384,South Mebane Elementary,59.2
010388,Southern Alamance High,45.7
010390,Southern Alamance Middle,52.9
010392,Sylvan Elementary,N/A
010394,Turrentine Middle,25.2
010396,Walter M Williams High,35.6
010400,Western Alamance High,31.7
010403,Western Alamance Middle,47.6
010406,Woodlawn Middle,49.2
020302,Alexander Central High,N/A
020303,Alexander Early College,N/A
020304,Bethlehem Elementary,N/A
020306,East Alexander Middle,40.8
020308,Ellendale Elementary,N/A
020316,Hiddenite Elementary,N/A
020320,Stony Point Elementary,N/A
020324,Sugar Loaf Elementary,N/A
020328,Taylorsville Elementary,N/A
020330,West Alexander Middle,N/A
020332,Wittenburg Elementary,N/A
030304,Alleghany High,N/A
030308,Glade Creek Elementary,N/A
030316,Piney Creek Elementary,N/A
030320,Sparta Elementary,N/A
040304,Anson Co. Early College High,57.1
040305,Anson Academy,N/A
040306,Anson High School,18.1
040308,Ansonville Elementary,44.7
040309,Anson Middle,25.9
040311,Wadesboro Primary,20.7
040316,Lilesville Elementary,43
040324,Morven Elementary,34.4
040328,Peachland-Polkton Elem,63.7
040330,Wadesboro Elementary,19.2
050302,Ashe County High,N/A
050303,Ashe County Early College High,N/A
050305,Ashe County Middle,N/A
050310,Blue Ridge Elementary,N/A
050330,Mountain View Elementary,N/A
050335,Westwood Elementary,N/A
060302,Avery County High,N/A
060304,Banner Elk Elementary,N/A
060310,Cranberry Middle,N/A
060316,Crossnore Elementary,N/A
060318,Avery Middle,N/A
060322,Freedom Trail Elementary,N/A
060328,Newland Elementary,N/A
060332,Riverside Elementary,N/A
060334,Blue Ridge Academy,N/A
060700,Avery High STEM Academy,N/A
060701,Avery High Viking Academy,N/A
070302,Eastern Elementary,N/A
070308,Bath Elementary,N/A
070310,B C Ed Tech Center,N/A
070311,Beaufort Co Early College High,N/A
070325,Chocowinity Middle,38.1
070326,Chocowinity Primary,47.3
070327,John C Tayloe Elementary,45.3
070328,John Small Elementary,43.7
070329,Northeast Elementary,30.3
111302,Asheville High,16.9
070338,P S Jones Middle,31.9
070339,Southside High,36
070340,S W Snowden Elementary,41.5
080311,Bertie Early College High,76.1
070330,Northside High,27.9
080314,Bertie Middle,40.6
080348,Aulander Elementary,46.1
080356,West Bertie Elementary,41.2
080360,Colerain Elementary,46.8
080362,Windsor Elementary,44.3
090315,Bladenboro Middle,36.2
090317,Bladenboro Primary,52.1
090318,Bladen Lakes Primary,43.8
090320,Clarkton School of Discovery,35
090324,Dublin Primary,32.6
090328,East Arcadia Elementary,N/A
090330,East Bladen High,28.6
070342,Washington High,19.4
090332,Elizabethtown Middle,31
090333,Elizabethtown Primary,39.7
090352,Plain View Primary,34.4
090365,Tar Heel Middle,26.5
090368,West Bladen High,25.3
080312,Bertie High,24.7
100302,Belville Elementary,50.7
100304,Bolivia Elementary,46.9
100307,Brunswick County Early College,N/A
100308,The COAST,N/A
100309,Cedar Grove Middle,33.9
100310,Jessie Mae Monroe Elementary,38.6
100316,Leland Middle,38.5
100320,Lincoln Elementary,30
100326,North Brunswick High,37.1
100332,Shallotte Middle,37.9
100335,South Brunswick Middle,24.5
100336,Southport Elementary,50
100338,Supply Elementary,36.8
100339,Town Creek Elementary,65.4
100340,Union Elementary,69.7
100342,Virginia Williamson Elem,44.3
100344,Waccamaw,37.2
100348,West Brunswick High,35.1
110303,Community High School,N/A
090376,Bladen Early College,39.4
110306,Reynolds Middle,32.1
110308,Barnardsville Elementary,N/A
110318,Black Mountain Elementary,N/A
110320,Black Mountain Primary,N/A
110322,Early College,N/A
110323,Middle College,N/A
110324,Candler Elementary,N/A
110326,Cane Creek Middle,N/A
110332,Bell Elementary,N/A
110336,Owen High,N/A
100334,South Brunswick High,29.7
110338,Owen Middle,35
110304,Reynolds High,44.1
110342,Erwin Middle,21.6
110348,Emma Elementary,33.3
110352,Enka High,N/A
110356,Fairview Elementary,N/A
110366,Glen Arden Elementary,N/A
110368,Haw Creek Elementary,20
110370,Hominy Valley Elementary,N/A
110372,Johnston Elementary,20.5
110376,Leicester Elementary,N/A
110379,North Buncombe Elementary,N/A
110380,North Buncombe High,N/A
110381,North Buncombe Middle,N/A
110382,North Windy Ridge Intermediate,N/A
110384,Oakley Elementary,26.2
110388,Pisgah Elementary,N/A
110401,Enka Middle,23.8
110408,Sand Hill-Venable Elem,38.2
110410,Avery's Creek Elementary,9.7
110412,Williams Elementary,23.3
110416,Roberson High,34.8
110340,Erwin High,31.4
110420,Valley Springs Middle,34.5
110422,Estes Elementary,35.4
110425,Enka Intermediate,46.2
110428,Weaverville Elementary,N/A
110432,Weaverville Primary,N/A
110436,West Buncombe Elementary,N/A
110444,Woodfin Elementary,N/A
110450,Koontz Intermediate,35
110451,Eblen Intermediate,36.9
110500,Nesbitt Discovery Academy,N/A
111304,Hall Fletcher Elementary,20.3
111306,Isaac Dickson Elementary,22.9
111307,Asheville Primary,N/A
111312,Claxton Elementary,21.3
111332,Ira B Jones Elementary,28.8
111356,Asheville Middle,15.9
111360,Vance Elementary,30.8
111369,Montford North Star Academy,17.9
111700,School of Inquiry and Life Sciences,N/A
120308,Hallyburton Academy,N/A
120310,Burke Middle College,N/A
120312,Drexel Elementary,N/A
120314,East Burke High,N/A
120315,East Burke Middle,N/A
120316,Forest Hill Elementary,55.6
120318,Freedom High,26.4
120320,George Hildebrand Elementary,N/A
120324,Glen Alpine Elementary,N/A
120334,Heritage Middle,76.7
120338,Hildebran Elementary,N/A
120340,Hillcrest Elementary,N/A
120344,Icard Elementary,N/A
120346,Jimmy C Draughn High School,N/A
120350,Liberty Middle,43.8
120352,North Liberty,N/A
120354,Mountain View Elementary,26.1
120360,Mull Elementary,N/A
120364,Oak Hill Elementary,23.2
120368,Ray Childers Elementary,N/A
120370,Robert L. Patton High School,N/A
120374,Salem Elementary,N/A
120376,Table Rock Middle,50
120380,Valdese Elementary,N/A
120386,W A Young Elementary,N/A
120390,Walter R Johnson Middle,39
130304,A T Allen Elementary,57
130307,Cox Mill High School,66.8
130308,Bethel Elementary,35
130309,Beverly Hills Elementary,38.5
130310,Central Cabarrus High,45.7
130311,Coltrane-Webb Elementary,43.5
130312,Harrisburg Elementary,60.6
130313,Concord Middle,25.3
130314,Concord High,37.4
130315,J N Fries Magnet School,57.9
130316,Jay M Robinson High,33.1
130317,Cabarrus Co Opportunity School,N/A
130318,C C Griffin Middle,48.4
130319,Cox Mill Elementary,71.7
130320,Harris Road Middle,69.6
130321,Carl A Furr Elementary,57.3
130322,Mount Pleasant Elementary,N/A
130323,Mount Pleasant Middle,52.3
130324,Mount Pleasant High,N/A
130325,Charles E Boger Elementary,44.3
130326,Northwest Cabarrus High,51.4
130327,Northwest Cabarrus Middle,40.6
130328,Royal Oaks Elementary,28.5
130329,Rocky River Elementary,36.6
130330,R Brown McAllister Elementary,34.5
130331,Pitts School Road Elementary,54.1
130332,Hickory Ridge High,58.1
130333,Performance Learning Center,N/A
130336,W R Odell Primary,N/A
130337,W R Odell Elementary,72.2
130338,Weddington Hills Elementary,53.8
130340,Winecoff Elementary,30.6
130342,W M Irvin Elementary,27.2
130344,Wolf Meadow Elementary,45.8
130345,Patriots Elementary,69.4
130346,Hickory Ridge Middle,72.5
130349,Cabarrus Early College of Technology,N/A
130350,Cabarrus-Kannapolis Early Coll,91.7
130355,Harold E. Winkler Middle,57.8
132308,Forest Park Elementary,50
132312,Fred L Wilson Elementary,42.9
132314,GW Carver Elementary,34.3
132328,Jackson Park Elementary,27.4
132330,Kannapolis Middle,30.9
132332,Shady Brook Elementary,41
132336,Woodrow Wilson Elementary,20.4
140304,Baton Elementary,N/A
140305,Caldwell Career Cen Mid. Coll.,N/A
140306,Gateway School,N/A
140307,Horizons Elementary,N/A
140308,Collettsville School,N/A
140309,Caldwell Early College,N/A
140312,Davenport A+ School,31
140316,Dudley Shoals Elementary,N/A
140324,Gamewell Elementary,32.6
140332,Gamewell Middle,41.7
140336,Granite Falls Middle,N/A
140340,Granite Falls Elementary,N/A
140344,Happy Valley Elementary,N/A
140348,Hibriten High,33.3
140390,West Caldwell High,18.2
140352,Hudson Elementary,N/A
140356,Hudson Middle,N/A
140360,Kings Creek Elementary,N/A
140368,William Lenoir Middle,36
140372,Lower Creek Elementary,N/A
140376,Oak Hill Elementary,N/A
140384,Sawmills Elementary,N/A
140386,South Caldwell High,N/A
140388,Valmead Elementary,N/A
140392,West Lenoir Elementary,15.6
140396,Whitnel Elementary,36.7
150304,Camden County High,48.6
