code,name,county,city,full_address
10303,Alamance-Burlington Middle/Early College,Alamance,Graham,"1247 Jimmie Kerr Road, Graham, NC 27253"
10304,Alexander Wilson Elementary,Alamance,Graham,"2518 NC 54, Graham, NC 27253"
10308,Altamahaw Ossipee Elem,Alamance,Elon,"2832 N NC 87, Elon, NC 27244"
10310,Broadview Middle,Alamance,Burlington,"2229 Broadview Drive, Burlington, NC 27217"
10311,Career Technical Education Center,Alamance,Burlington,"2550 Buckingham Road, Burlington, NC 27217"
10312,"Highland Elementary, Burlington",Alamance,Burlington,"3720 Bonnar Bridge Parkway, Burlington, NC 27215"
10320,E M Yoder Elementary,Alamance,Mebane,"301 N Charles Street, Mebane, NC 27302"
10324,Eastern Alamance High,Alamance,Mebane,"4040 Mebane Rogers, Mebane, NC 27302"
10326,Eastlawn Elementary,Alamance,Burlington,"502 N Graham Hopedale Road, Burlington, NC 27217"
10328,Edwin M Holt Elementary,Alamance,Burlington,"4751 S NC 62, Burlington, NC 27215"
10340,Elon Elementary,Alamance,Elon,"510 E Haggard Avenue, Elon, NC 27244"
10346,B Everett Jordan Elem,Alamance,Graham,"5827 Church Road, Graham, NC 27253"
10347,Garrett Elementary,Alamance,Mebane,"3224 Old Hillsborough Road, Mebane, NC 27302"
10348,Graham High,Alamance,Graham,"903 Trollinger Road, Graham, NC 27253"
10350,Graham Middle,Alamance,Graham,"311 E Pine Street, Graham, NC 27253"
10351,Grove Park Elementary,Alamance,Burlington,"141 Trail One, Burlington, NC 27215"
10353,Hawfields Middle,Alamance,Mebane,"1951 S NC 119, Mebane, NC 27302"
10354,Harvey R Newlin Elementary,Alamance,Burlington,"316 Carden Street, Burlington, NC 27215"
10357,Haw River Elementary,Alamance,Haw River,"701 E Main Street, Haw River, NC 27258"
10358,"Hillcrest Elementary, Burlington",Alamance,Burlington,"1714 W Davis Street, Burlington, NC 27215"
10360,Hugh M Cummings High,Alamance,Burlington,"2200 N Mebane Street, Burlington, NC 27217"
10362,Marvin B Smith Elementary,Alamance,Burlington,"2235 Delaney Drive, Burlington, NC 27215"
10364,North Graham Elementary,Alamance,Graham,"1025 Trollinger Road, Graham, NC 27253"
10372,"Pleasant Grove Elementary, Burlington",Alamance,Burlington,"2847 Pleasant Grv Sch Road, Burlington, NC 27217"
10374,R Homer Andrews Elementary,Alamance,Burlington,"2630 Buckingham Road, Burlington, NC 27217"
10378,Ray Street Academy,Alamance,Graham,"609 Ray Street, Graham, NC 27253"
10380,South Graham Elementary,Alamance,Graham,"320 Ivey Road, Graham, NC 27253"
10384,South Mebane Elementary,Alamance,Mebane,"600 S 3rd Street, Mebane, NC 27302"
10388,Southern High,Alamance,Graham,"631 Southern High Road, Graham, NC 27253"
10390,"Southern Middle, Graham",Alamance,Graham,"771 Southern High Road, Graham, NC 27253"
10392,Sylvan Elementary,Alamance,Snow Camp,"7718 Sylvan Road, Snow Camp, NC 27349"
10394,Turrentine Middle,Alamance,Burlington,"1710 Edgewood Avenue, Burlington, NC 27215"
10396,Walter M Williams High,Alamance,Burlington,"1307 S Church Street, Burlington, NC 27215"
10400,Western Alamance High,Alamance,Elon,"1731 N NC 87, Elon, NC 27244"
10403,Western Middle,Alamance,Elon,"2100 Eldon Drive, Elon, NC 27244"
10406,Woodlawn Middle,Alamance,Mebane,"3970 Mebane Rogers Road, Mebane, NC 27302"
010LEA,Alamance-Burlington Schools,Alamance,Burlington,"1712 Vaughn Road, Burlington, NC 27217"
01B000,River Mill Academy,Alamance,Graham,"235 Cheeks Lane, Graham, NC 27253"
01C000,Clover Garden,Alamance,Burlington,"2454 Altamhaw Union Ridge Road, Burlington, NC 27217"
01D000,The Hawbridge School,Alamance,Saxapahaw,"1735 Saxapahaw Bethlehem Church Rd, Saxapahaw, NC 27340"
20302,Alexander Central High,Alexander,Taylorsville,"223 School Drive, Taylorsville, NC 28681"
20303,Alexander Early College,Alexander,Taylorsville,"230 Industrial Blvd, Taylorsville, NC 28681"
20304,Bethlehem Elementary,Alexander,Taylorsville,"7900 NC Hwy 127, Taylorsville, NC 28681"
20306,East Alexander Middle,Alexander,Hiddenite,"1285 White Plains Road, Hiddenite, NC 28636"
20308,Ellendale Elementary,Alexander,Taylorsville,"175 Ellendale Park Lane, Taylorsville, NC 28681"
20316,Hiddenite Elementary,Alexander,Hiddenite,"374 Sulphur Springs Road, Hiddenite, NC 28636"
20320,Stony Point Elementary,Alexander,Stony Point,"311 Stony Point School Road, Stony Point, NC 28678"
20324,Sugar Loaf Elementary,Alexander,Taylorsville,"3600 NC Hwy 16N, Taylorsville, NC 28681"
20328,Taylorsville Elementary,Alexander,Taylorsville,"100 7th Street SW, Taylorsville, NC 28681"
20330,West Alexander Middle,Alexander,Taylorsville,"85 Bulldog Lane, Taylorsville, NC 28681"
20332,Wittenburg Elementary,Alexander,Taylorsville,"7300 Church Road, Taylorsville, NC 28681"
020LEA,Alexander County Schools,Alexander,Taylorsville,"700 Liledoun Road, Taylorsville, NC 28681"
30304,Alleghany High,Alleghany,Sparta,"404 Trojan Avenue, Sparta, NC 28675"
30308,Glade Creek Elementary,Alleghany,Ennice,"32 Glade Creek Sch Road, Ennice, NC 28623"
30316,Piney Creek Elementary,Alleghany,Piney Creek,"559 Piney Creek Sch Road, Piney Creek, NC 28663"
30320,Sparta Elementary,Alleghany,Sparta,"450 N Main Street, Sparta, NC 28675"
030LEA,Alleghany County Schools,Alleghany,Sparta,"85 Peachtree Street, Sparta, NC 28675"
40304,Anson Co. Early College High,Anson,Polkton,"177 Ledbetter Street, Polkton, NC 28135"
40305,Anson Academy,Anson,Wadesboro,"118 N. Ashe Street, Wadesboro, NC 28170"
40306,Anson High School,Anson,Wadesboro,"96 Anson High School Road, Wadesboro, NC 28170"
40308,Ansonville Elementary,Anson,Ansonville,"9104 Hwy 52 N, Ansonville, NC 28007"
40309,Anson Middle,Anson,Wadesboro,"832 US Hwy 52 N, Wadesboro, NC 28170"
40311,Wadesboro Primary,Anson,Wadesboro,"1542 Hwy 52 S, Wadesboro, NC 28170"
40316,Lilesville Elementary,Anson,Lilesville,"121 Camden Street, Lilesville, NC 28091"
40324,Morven Elementary,Anson,Morven,"6715 Hwy 52 S, Morven, NC 28119"
