index,code,name_x,county,city,full_address,long,lat,district,name_y,region,grades,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
1313,49,Pine Lake Preparatory,Iredell,Mooresville,"104 Yellow Wood Circle, Mooresville, NC 28115",-80.844047,35.535746,,,,,,,,,,
2592,92,Sterling Montessori Academy,Wake,Morrisville,"202 Treybrooke Drive, Morrisville, NC 27560",-78.8374879,35.833889,,,,,,,,,,
0,10303,Alamance-Burlington Middle/Early College,Alamance,Graham,"1247 Jimmie Kerr Road, Graham, NC 27253",-79.3575561,36.0667853,,,,,,,,,,
1,10304,Alexander Wilson Elementary,Alamance,Graham,"2518 NC 54, Graham, NC 27253",-79.3466437,36.0298515,,,,,,,,,,
2,10308,Altamahaw Ossipee Elem,Alamance,Elon,"2832 N NC 87, Elon, NC 27244",-79.5104138,36.1795464,,,,,,,,,,
3,10310,Broadview Middle,Alamance,Burlington,"2229 Broadview Drive, Burlington, NC 27217",-79.3969707,36.0874369,Alamance-Burlington Schools,Broadview Middle,Piedmont-Triad,8-Jun,Y,55.3,F,Not Met,28.1,
4,10311,Career Technical Education Center,Alamance,Burlington,"2550 Buckingham Road, Burlington, NC 27217",-79.3842715,36.0923163,,,,,,,,,,
5,10312,"Highland Elementary, Burlington",Alamance,Burlington,"3720 Bonnar Bridge Parkway, Burlington, NC 27215",-79.5179086,36.0585018,,,,,,,,,,
6,10320,E M Yoder Elementary,Alamance,Mebane,"301 N Charles Street, Mebane, NC 27302",-79.275477,36.100586,,,,,,,,,,
7,10324,Eastern Alamance High,Alamance,Mebane,"4040 Mebane Rogers, Mebane, NC 27302",-79.302277,36.1135494,,,,,,,,,,
8,10326,Eastlawn Elementary,Alamance,Burlington,"502 N Graham Hopedale Road, Burlington, NC 27217",-79.4066516,36.1019099,Alamance-Burlington Schools,Eastlawn Elementary,Piedmont-Triad,PK-05,Y,60.5,D,Met,36,
9,10328,Edwin M Holt Elementary,Alamance,Burlington,"4751 S NC 62, Burlington, NC 27215",-79.4888609,36.020872,,,,,,,,,,
10,10340,Elon Elementary,Alamance,Elon,"510 E Haggard Avenue, Elon, NC 27244",-79.4991775,36.1041309,,,,,,,,,,
11,10346,B Everett Jordan Elem,Alamance,Graham,"5827 Church Road, Graham, NC 27253",-79.3267517,35.9397887,Alamance-Burlington Schools,B. Everett Jordan Elementary,Piedmont-Triad,0K-05,Y,59.6,D,Not Met,41.6,
12,10347,Garrett Elementary,Alamance,Mebane,"3224 Old Hillsborough Road, Mebane, NC 27302",-79.2968657,36.0616231,,,,,,,,,,
13,10348,Graham High,Alamance,Graham,"903 Trollinger Road, Graham, NC 27253",-79.3830719,36.0754477,,,,,,,,,,
14,10350,Graham Middle,Alamance,Graham,"311 E Pine Street, Graham, NC 27253",-79.4052184,36.0683622,Alamance-Burlington Schools,Graham Middle,Piedmont-Triad,8-Jun,Y,85.1,F,Not Met,30.9,
15,10351,Grove Park Elementary,Alamance,Burlington,"141 Trail One, Burlington, NC 27215",-79.4606761,36.0800356,Alamance-Burlington Schools,Grove Park Elementary,Piedmont-Triad,PK-05,Y,60.9,D,Met,35.3,
16,10353,Hawfields Middle,Alamance,Mebane,"1951 S NC 119, Mebane, NC 27302",-79.2972038,36.0614763,,,,,,,,,,
17,10354,Harvey R Newlin Elementary,Alamance,Burlington,"316 Carden Street, Burlington, NC 27215",-79.4205411,36.0734088,Alamance-Burlington Schools,Harvey R Newlin Elementary,Piedmont-Triad,PK-05,Y,69.1,D,Met,33.2,
