affiliate,name,CISNC_school,code,county,city,full_address,long,lat,district
CIS of Northwest North Carolina,Ellendale Elementary School,yes,20308,Alexander,Taylorsville,"175 Ellendale Park Lane, Taylorsville, NC 28681",-81.2789738,35.9280489,Alexander County Schools
CIS of Northwest North Carolina,Hiddenite Elementary School,yes,20316,Alexander,Hiddenite,"374 Sulphur Springs Road, Hiddenite, NC 28636",-81.0893554,35.9071151,Alexander County Schools
CIS of Northwest North Carolina,Stony Point Elementary School,yes,20320,Alexander,Stony Point,"311 Stony Point School Road, Stony Point, NC 28678",-81.0468615,35.8692561,Alexander County Schools
CIS of Northwest North Carolina,Taylorsville Elementary School,yes,20328,Alexander,Taylorsville,"100 7th Street SW, Taylorsville, NC 28681",-81.1828707,35.9203895,Alexander County Schools
CIS of Northwest North Carolina,Wittenburg Elementary School,yes,20332,Alexander,Taylorsville,"7300 Church Road, Taylorsville, NC 28681",-81.2413853,35.8273613,Alexander County Schools
CIS of Northwest North Carolina,Sparta Elementary School,yes,30320,Alleghany,Sparta,"450 N Main Street, Sparta, NC 28675",-81.1269367,36.5095717,Alleghany County Schools
CIS of Northwest North Carolina,Glade Creek School,yes,30308,Alleghany,Ennice,"32 Glade Creek Sch Road, Ennice, NC 28623",-80.979231,36.50085,Alleghany County Schools
CIS of Northwest North Carolina,Piney Creek School,yes,30316,Alleghany,Piney Creek,"559 Piney Creek Sch Road, Piney Creek, NC 28663",-81.304084,36.547357,Alleghany County Schools
CIS of Northwest North Carolina,Ashe County Middle School,yes,50305,Ashe,Warrensville,"255 Northwest Lane, Warrensville, NC 28693",-81.509979,36.462739,Ashe County Schools
CIS of Randolph County,Asheboro High School,yes,761304,Randolph,Asheboro,"1221 S Park St, Asheboro, NC 27203",-79.8186435,35.689799,Asheboro City Schools
CIS of Randolph County,Balfour Elementary School,yes,761312,Randolph,Asheboro,"2097 N Asheboro School Rd, Asheboro, NC 27203",-79.8216787,35.7457357,Asheboro City Schools
CIS of Randolph County,Charles W McCrary Elementary,yes,761320,Randolph,Asheboro,"400 Ross St, Asheboro, NC 27203",-79.8180288,35.7128176,Asheboro City Schools
CIS of Randolph County,Donna Lee Loflin Elementary,yes,761321,Randolph,Asheboro,"405 S Park St, Asheboro, NC 27203",-79.8197816,35.7016371,Asheboro City Schools
CIS of Randolph County,Guy B Teachey School,yes,761328,Randolph,Asheboro,"294 Newbern Ave, Asheboro, NC 27205",-79.8089247,35.6735111,Asheboro City Schools
CIS of Randolph County,Lindley Park School,yes,761332,Randolph,Asheboro,"312 Cliff Rd, Asheboro, NC 27203",-79.8069984,35.7020689,Asheboro City Schools
CIS of Randolph County,North Asheboro Middle School,yes,761336,Randolph,Asheboro,"1861 N Asheboro School Rd, Asheboro, NC 27203",-79.822296,35.744645,Asheboro City Schools
CIS of Randolph County,South Asheboro Middle School,yes,761308,Randolph,Asheboro,"523 W Walker Ave, Asheboro, NC 27203",-79.8212427,35.6896918,Asheboro City Schools
CIS of Buncombe County/ Children First,Claxton Elementary,yes,111312,Buncombe,Asheville,"241 Merrimon Avenue, Asheville, NC 28801",-82.553409,35.607753,Asheville City Schools
"CIS of Brunswick County, Inc.",Cedar Grove Middle School,yes,100309,Brunswick,Supply,"750 Grove Trail SW, Supply, NC 28462",-78.270573,33.9666753,Brunswick County Schools
"CIS of Brunswick County, Inc.",Leland Middle School,yes,100316,Brunswick,Leland,"927 Old Fayetteville Road NE, Leland, NC 28451",-78.033794,34.23541,Brunswick County Schools
"CIS of Brunswick County, Inc.",Shallotte Middle,yes,100332,Brunswick,Shallotte,"225 Village Road, Shallotte, NC 28459",-78.3883709,33.9637249,Brunswick County Schools
"CIS of Brunswick County, Inc.",South Brunswick Middle,yes,100335,Brunswick,Southport,"100 Cougar Drive BSL, Southport, NC 28461",-78.048488,34.00855,Brunswick County Schools
"CIS of Brunswick County, Inc.",Waccamaw School,yes,100344,Brunswick,Ash,"5901 Waccamaw School Road NW, Ash, NC 28420",-78.5152684,34.063384,Brunswick County Schools
CIS of Buncombe County/ Children First,Johnston Elementary School,yes,110372,Buncombe,Asheville,"230 Johnston Boulevard, Asheville, NC 28806",-82.6198369,35.5866295,Buncombe County School
CIS of Buncombe County/ Children First,WW Estes Elementary,yes,110422,Buncombe,Asheville,"275 Overlook Road, Asheville, NC 28803",-82.539873,35.4878829,Buncombe County School
CIS of Buncombe County/ Children First,Eblen Intermediate,yes,110451,Buncombe,Asheville,"59 Lee's Creek Road, Asheville, NC 28806",-82.6198898,35.6186238,Buncombe County Schools
CIS of Buncombe County/ Children First,Emma Elementary,yes,110348,Buncombe,Asheville,"37 Brickyard Road, Asheville, NC 28806",-82.5922712,35.5983122,Buncombe County Schools
CIS of North Carolina (Direct Service),Concord Middle School,yes,130313,Cabarrus,Concord,"1500 Gold Rush Drive, Concord, NC 28025",-80.5524389,35.4220649,Cabarrus County Schools
CIS of Charlotte-Mecklenburg,Albemarle Road Elementary School,yes,600300,Mecklenburg,Charlotte,"7800 Riding Trail Rd, Charlotte, NC 28212",-80.729483,35.197161,Charlotte Mecklenburg
CIS of Charlotte-Mecklenburg,Albemarle Road Middle School,yes,600301,Mecklenburg,Charlotte,"6900 Democracy Dr, Charlotte, NC 28212",-80.729263,35.199266,Charlotte Mecklenburg
CIS of Charlotte-Mecklenburg,Bruns Avenue Elementary,yes,600489,Mecklenburg,Charlotte,"501 S. Bruns Ave, Charlotte, NC 28208",-80.8648481,35.2391236,Charlotte Mecklenburg
CIS of Charlotte-Mecklenburg,Garinger High School,yes,600397,Mecklenburg,Charlotte,"1100 Eastway Dr, Charlotte, NC 28205",-80.7819839,35.2409597,Charlotte Mecklenburg
CIS of Charlotte-Mecklenburg,Governors Village STEM Academy,yes,600468,Mecklenburg,Charlotte,"7910 Neal Rd, Charlotte, NC 28262",-80.7746749,35.2989247,Charlotte Mecklenburg
CIS of Charlotte-Mecklenburg,Phillip O' Berry High School,yes,600496,Mecklenburg,Charlotte,"1430 Alleghany St, Charlotte, NC 28208",-80.8916489,35.2392789,Charlotte Mecklenburg
CIS of Charlotte-Mecklenburg,Walter G Byers,yes,600574,Mecklenburg,Charlotte,"1415 Hamilton St, Charlotte, NC 28206",-80.8414549,35.2439448,Charlotte Mecklenburg
CIS of Charlotte-Mecklenburg,West Charlotte High School,yes,600576,Mecklenburg,Charlotte,"2219 Senior Dr, Charlotte, NC 28216",-80.8597686,35.2660082,Charlotte Mecklenburg
CIS of Charlotte-Mecklenburg,Briarwood Elementary,yes,600329,Mecklenburg,Charlotte,"1001 Wilann Dr, Charlotte, NC 28215",-80.7655207,35.2518088,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Cochrane Collegiate Academy,yes,600341,Mecklenburg,Charlotte,"6200 Starhaven Dr, Charlotte, NC 28215",-80.7503253,35.2461762,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Newell Elementary,yes,600474,Mecklenburg,Charlotte,"325 Rocky River Road, West, Charlotte, NC 28213",-80.7535508,35.2867519,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Wilson Middle School,yes,600583,Mecklenburg,Charlotte,"7020 Tuckaseegee Rd. , Charlotte, NC 28214",-80.945733,35.249473,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Berryhill School,yes,600319,Mecklenburg,Charlotte,"10501 Windy Grove Rd, Charlotte, NC 28278",-80.990504,35.213002,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Coulwood Middle School,yes,600351,Mecklenburg,Charlotte,"500 Kentberry Dr, Charlotte, NC 28214",-80.9446695,35.3039568,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Harding High School,yes,600405,Mecklenburg,Charlotte,"2001 Alleghany St, Charlotte, NC 28208",-80.903264,35.2360718,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,"Performance Learning Center, Charlotte",yes,600498,Mecklenburg,Charlotte,"2300 W Sugar Creek Road, Charlotte, NC 28262",-80.7966819,35.2950261,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Reid Park,yes,600517,Mecklenburg,Charlotte,"4108 W Tyvola Rd, Charlotte, NC 28208",-80.90523,35.204946,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Sedgefield Middle School,yes,600520,Mecklenburg,Charlotte,"2700 Dorchester Pl, Charlotte, NC 28209",-80.8562773,35.1972991,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Tuckaseegee Elementary,yes,600562,Mecklenburg,Charlotte,"2028 Little Rock Rd, Charlotte, NC 28214",-80.9419409,35.2497076,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Westerly Hills,yes,600577,Mecklenburg,Charlotte,"4420 Denver Ave, Charlotte, NC 28208",-80.9110091,35.2322231,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Whitewater Middle School,yes,600317,Mecklenburg,Charlotte,"10201 Running Rapids Rd, Charlotte, NC 28214",-80.9900735,35.2830935,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Allenbrook Elementary School,yes,600308,Mecklenburg,Charlotte,"1430 Allenbrook Dr, Charlotte, NC 28208",-80.9151119,35.261705,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Eastway Middle School,yes,600381,Mecklenburg,Charlotte,"1501 Norland Rd, Charlotte, NC 28205",-80.7779054,35.2096706,Charlotte- Mecklenburg
CIS of Charlotte-Mecklenburg,Hidden Valley Elementary School,yes,600412,Mecklenburg,Charlotte,"5100 Snow White Ln, Charlotte, NC 28213",-80.784279,35.268156,Charlotte- Mecklenburg
