code,name,county,city,full_address,Longitude,Latitude,district,region,title_I,percent_EDS,S_P_grade,growth_status,EOG,grad_rate
291352,Southwest Elementary School,Davidson,Lexington,"434 Central Avenue, Lexington, NC 27292",-80.280445,35.8178793,Lexington City Schools,Piedmont-Triad,Y,57.3,D,Not Met,50.4,
650384,A H Snipes Academy of Arts/Des,New Hanover,Wilmington,"2150 Chestnut Street, Wilmington, NC 28405",-77.9204058,34.2393823,New Hanover County Schools,Southeast,Y,91.5,D,Met,33.2,
13C000,A.C.E. Academy,Cabarrus,Harrisburg,"7807 Caldwell Road, Harrisburg, NC 28075",-80.6730051,35.3082994,Charter Schools,Southwest,Y,57.1,D,Met,39.1,
630308,Aberdeen Elementary,Moore,Aberdeen,"503 Sandhills Blvd N, Aberdeen, NC 28315",-79.426078,35.139826,Moore County Schools,Sandhills,Y,81.6,D,Not Met,35.1,
630304,Aberdeen Primary,Moore,Aberdeen,"310 Keyser St, Aberdeen, NC 28315",-79.423373,35.124083,Moore County Schools,Sandhills,Y,74.9,D,,,
240308,Acme Delco Elementary,Columbus,Riegelwood,"16337 Old Lake Road, Riegelwood, NC 28456",-78.2544189,34.3475806,Columbus County Schools,Sandhills,Y,82.1,D,Not Met,48,
460308,Ahoskie Elementary,Hertford,Ahoskie,"200 N Talmage St, Ahoskie, NC 27910",-76.994518,36.2916745,Hertford County Schools,Northeast,Y,63.7,F,Not Met,34.3,
600301,Albemarle Road Middle,Mecklenburg,Charlotte,"6900 Democracy Dr, Charlotte, NC 28212",-80.729263,35.199266,Charlotte-Mecklenburg Schools,Southwest,Y,49.1,D,Met,43.1,
410310,Allen Jay Elementary,Guilford,High Point,"1311 East Springfield Road, High Point, NC 27263",-79.9554544,35.9322724,Guilford County Schools,Piedmont-Triad,Y,58,D,Met,45.1,
410316,Allen Middle,Guilford,Greensboro,"1108 Glendale Drive, Greensboro, NC 27406",-79.8234499,36.011131,Guilford County Schools,Piedmont-Triad,Y,59.5,D,Not Met,39.2,
600308,Allenbrook Elementary,Mecklenburg,Charlotte,"1430 Allenbrook Dr, Charlotte, NC 28208",-80.9151119,35.261705,Charlotte-Mecklenburg Schools,Southwest,Y,73.4,F,Not Met,30.4,
430304,Anderson Creek Primary,Harnett,Bunnlevel,"914 Anderson Creek Sch Rd, Bunnlevel, NC 28323",-78.9174683,35.2817479,Harnett County Schools,North Central,Y,57.1,D,,,
430308,Angier Elementary,Harnett,Angier,"130 E McIver St, Angier, NC 27501",-78.7361073,35.5028926,Harnett County Schools,North Central,Y,73.5,D,Exceeded,41.9,
260336,Anne Chesnutt Middle,Cumberland,Fayetteville,"2121 Skibo Road, Fayetteville, NC 28314",-78.9734273,35.0503665,Cumberland County Schools,Sandhills,N,63.1,D,Not Met,39.2,
40306,Anson High School,Anson,Wadesboro,"96 Anson High School Road, Wadesboro, NC 28170",-80.1037392,34.9768643,Anson County Schools,Southwest,N,50.7,D,Not Met,23.5,86.2
40309,Anson Middle,Anson,Wadesboro,"832 US Hwy 52 N, Wadesboro, NC 28170",-80.0882123,34.9896098,Anson County Schools,Southwest,N,55.2,D,Not Met,35.6,
34Z000,Appalachian Academy at Middle Fork,Forsyth,Walkertown,"3125 Williston Rd, Walkertown, NC 27051",-80.1683575,36.1412787,Lab Schools,Piedmont-Triad,Y,<5,D,Met,25.4,
53B000,Ascend Leadership Academy Lee County,Lee,Sanford,"283 Harvey Faulk Road, Sanford NC 27332",-79.1258193,35.4338052,Charter Schools,North Central,Y,17.4,D,Not Met,54.1,
340308,Ashley Academy,Forsyth,Winston-Salem,"1647 Ashley School Circle, Winston-Salem, NC 27105",-80.2217616,36.1176872,Forsyth County Schools,Piedmont-Triad,Y,81.5,F,Met,19.4,
600311,Ashley Park PreK-8 School,Mecklenburg,Charlotte,"2401 Belfast Dr, Charlotte, NC 28208",-80.891217,35.232769,Charlotte-Mecklenburg Schools,Southwest,Y,74.2,D,Met,31.1,
920320,Aversboro Elementary,Wake,Garner,"1605 Aversboro Rd, Garner, NC 27529",-78.6152841,35.6887639,Wake County Schools,North Central,Y,60.8,D,Not Met,43.7,
60701,Avery High Viking Academy,Avery,Newland,"401 Avery County High School Rd, Newland, NC 28657",-81.91897,36.0692387,Avery County Schools,Northwest,N,60,F,Met,10.5,
110410,Avery's Creek Elementary,Buncombe,Arden,"15 Park South Boulevard, Arden, NC 28704",-82.5792672,35.4774437,Buncombe County Schools,Western,Y,63.9,D,Met,48.5,
10346,B Everett Jordan Elem,Alamance,Graham,"5827 Church Road, Graham, NC 27253",-79.3267517,35.9397887,Alamance-Burlington Schools,Piedmont-Triad,Y,59.6,D,Not Met,41.6,
310304,B F Grady Elementary,Duplin,Albertson,"2627 N NC 11 & 903, Albertson, NC 28508",-77.8266212,35.0568712,Duplin County Schools,Southeast,Y,69.5,D,Met,43.2,
980308,B O Barnes Elementary,Wilson,Wilson,"1913 Martin L King Parkway, Wilson, NC 27893",-77.8865965,35.712878,Wilson County Schools,North Central,Y,78.8,F,Not Met,22,
920326,Baileywick Road Elementary,Wake,Raleigh,"9425 Baileywick Road, Raleigh, NC 27615",-78.664731,35.909168,Wake County Schools,North Central,Y,55.7,D,Not Met,50.8,
920329,Barwell Road Elementary,Wake,Raleigh,"3925 Barwell Road, Raleigh, NC 27610",-78.5514452,35.731847,Wake County Schools,North Central,Y,76.3,F,Not Met,33.1,
640306,Baskerville Elementary,Nash,Rocky Mount,"1100 Stokes Avenue, Rocky Mount, NC 27801",-77.7713841,35.9505403,Nash-Rocky Mount Schools,North Central,Y,85.9,F,Not Met,19,
550312,Battleground Elementary,Lincoln,Lincolnton,"201 Jeb Seagle Dr, Lincolnton, NC 28092",-81.2624659,35.4801701,Lincoln County Schools,Southwest,Y,65.6,D,Met,44.3,
920332,Beaverdam Elementary,Wake,Raleigh,"3591 Tarheel Club Rd, Raleigh, NC 27604",-78.5281927,35.821173,Wake County Schools,North Central,Y,64.1,D,Not Met,43.8,
740310,Belvoir Elementary,Pitt,Greenville,"2568 NC 33 West, Greenville, NC 27834",-77.41742,35.668157,Pitt County Schools,Northeast,Y,75.2,D,Met,42.2,
410544,Ben L. Smith High School,Guilford,Greensboro,"2407 South Holden Road, Greensboro, NC 27407",-79.847112,36.034726,Guilford County Schools,Piedmont-Triad,Y,58.6,D,Met,27.7,77.3
260414,Benjamin J Martin Elementary,Cumberland,Fayetteville,"430 N Reilly Road, Fayetteville, NC 28303",-79.0094964,35.0929339,Cumberland County Schools,Sandhills,Y,68.8,D,Not Met,47.7,
510308,Benson Elementary,Johnston,Benson,"2040 Hwy 50 N, Benson, NC 27504",-78.5550559,35.400258,Johnston County Schools,North Central,Y,67.7,D,Not Met,37.1,
510310,Benson Middle,Johnston,Benson,"1600 N Wall Street, Benson, NC 27504",-78.532152,35.389153,Johnston County Schools,North Central,Y,63.2,D,Met,39.5,
640308,Benvenue Elementary,Nash,Rocky Mount,"2700 Nicodemus Mile Road, Rocky Mount, NC 27804",-77.8378954,35.9750391,Nash-Rocky Mount Schools,North Central,Y,51.4,D,Met,37.5,
80312,Bertie High,Bertie,Windsor,"716 US Hwy 13 North, Windsor, NC 27983",-78.0609004,35.3202529,Bertie County Schools,Northeast,Y,56.7,D,Not Met,26.2,73.3
80314,Bertie Middle,Bertie,Windsor,"652 US Hwy 13 North, Windsor, NC 27983",-76.9645761,36.0476907,Bertie County Schools,Northeast,Y,58.2,D,Not Met,45,
360332,Bessemer City Central Elem,Gaston,Bessemer City,"1400 Puett's Chapel Road, Bessemer City, NC 28016",-81.2753965,35.3025408,Gaston County Schools,Southwest,Y,60.2,D,Not Met,33.1,
360336,Bessemer City High,Gaston,Bessemer City,"119 Yellow Jacket Lane, Bessemer City, NC 28016",-81.2807176,35.2979309,Gaston County Schools,Southwest,N,63.6,D,Not Met,26.8,77.6
360338,Bessemer City Primary,Gaston,Bessemer City,"1320 North 12th Street, Bessemer City, NC 28016",-81.275058,35.300151,Gaston County Schools,Southwest,Y,61,D,,,
410328,Bessemer Elementary,Guilford,Greensboro,"918 Huffine Mill Road, Greensboro, NC 27405",-79.736291,36.0895579,Guilford County Schools,Piedmont-Triad,Y,81.3,D,Met,34.2,
